小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary)
1910,['110'],27.E290,,b'\xee\x8a\x90'
1911,['22513'],27.F539,,b'\xef\x94\xb9'
1912,['22525'],27.F12B,,b'\xef\x84\xab'
1913,['22594'],27.F10E,,b'\xef\x84\x8e'
1914,['782'],27.53D4,叔,b'\xe5\x8f\x94'
1914,['782'],27.E291,,b'\xee\x8a\x91'
1915,['22518'],27.F519,,b'\xef\x94\x99'
1916,['781'],27.53D6,取,b'\xe5\x8f\x96'
1917,['2085'],27.5F57,彗,b'\xe5\xbd\x97'
1917,['11144'],27.7BF2,篲,b'\xe7\xaf\xb2'
1917,['43674'],27.E293,,b'\xee\x8a\x93'
1918,['22566'],27.F5AE,,b'\xef\x96\xae'
1918,['22566'],27.E294,,b'\xee\x8a\x94'
1918,['22566'],27.E295,,b'\xee\x8a\x95'
1919,['108'],27.53CB,友,b'\xe5\x8f\x8b'
1919,['108'],27.E296,,b'\xee\x8a\x96'
1919,['31812'],27.E297,,b'\xee\x8a\x97'
1920,['1217'],27.5EA6,度,b'\xe5\xba\xa6'
1921,['19787'],27.F4F9,,b'\xef\x93\xb9'
1922,['776'],27.5351,卑,b'\xe5\x8d\x91'
1923,['212'],27.53F2,史,b'\xe5\x8f\xb2'
1924,['729'],27.4E8B,事,b'\xe4\xba\x8b'
1924,['729'],27.E298,,b'\xee\x8a\x98'
1925,['131'],27.652F,支,b'\xe6\x94\xaf'
1925,['131'],27.E299,,b'\xee\x8a\x99'
1926,['7964'],27.6532,攲,b'\xe6\x94\xb2'
1927,['45380'],27.F39C,,b'\xef\x8e\x9c'
1928,['61498'],27.EDBD,,b'\xee\xb6\xbd'
1928,['61498'],27.E29B,,b'\xee\x8a\x9b'
1928,['3196'],27.8084,肄,b'\xe8\x82\x84'
1929,['2766'],27.8085,肅,b'\xe8\x82\x85'
1929,['2766'],27.E29C,,b'\xee\x8a\x9c'
1930,['431'],27.807F,聿,b'\xe8\x81\xbf'
1931,['2739'],27.7B46,筆,b'\xe7\xad\x86'
1932,['45382'],27.F0D2,,b'\xef\x83\x92'
1933,['1682'],27.66F8,書,b'\xe6\x9b\xb8'
1934,['2707'],27.756B,畫,b'\xe7\x95\xab'
1934,['2707'],27.E29D,,b'\xee\x8a\x9d'
1934,['2707'],27.E29E,,b'\xee\x8a\x9e'
1935,['2166'],27.665D,晝,b'\xe6\x99\x9d'
1935,['2166'],27.E29F,,b'\xee\x8a\x9f'
1936,['54649'],27.F5E5,,b'\xef\x97\xa5'
1937,['54658'],27.E2A0,,b'\xee\x8a\xa0'
1938,['4701'],27.96B8,隸,b'\xe9\x9a\xb8'
1938,['54660'],27.F03E,,b'\xef\x80\xbe'
1939,['41786'],27.F593,,b'\xef\x96\x93'
1940,['3599'],27.7DCA,緊,b'\xe7\xb7\x8a'
1941,['2024'],27.5805,堅,b'\xe5\xa0\x85'
1942,['4049'],27.8C4E,豎,b'\xe8\xb1\x8e'
1942,['48563'],27.E2A1,,b'\xee\x8a\xa1'
1943,['435'],27.81E3,臣,b'\xe8\x87\xa3'
1944,['8246'],27.81E6,臦,b'\xe8\x87\xa6'
1945,['3626'],27.81E7,臧,b'\xe8\x87\xa7'
1945,['23303'],27.E2A2,,b'\xee\x8a\xa2'
1946,['5433'],27.6BB3,殳,b'\xe6\xae\xb3'
1947,['6492'],27.794B,祋,b'\xe7\xa5\x8b'
1948,['6005'],27.6778,杸,b'\xe6\x9d\xb8'
1949,['9369'],27.6BC4,毄,b'\xe6\xaf\x84'
1950,['35761'],27.F034,,b'\xef\x80\xb4'
1951,['35757'],27.E2A4,,b'\xee\x8a\xa4'
1952,['35770'],27.E2A5,,b'\xee\x8a\xa5'
1953,['35778'],27.F0F3,,b'\xef\x83\xb3'
1954,['35780'],27.E2A7,,b'\xee\x8a\xa7'
1955,['3893'],27.6BC6,毆,b'\xe6\xaf\x86'
1956,['9368'],27.6BC3,毃,b'\xe6\xaf\x83'
1957,['3067'],27.6BBF,殿,b'\xe6\xae\xbf'
1958,['35771'],27.F5E7,,b'\xef\x97\xa7'
1959,['1306'],27.6BB5,段,b'\xe6\xae\xb5'
1960,['35812'],27.E2A8,,b'\xee\x8a\xa8'
1961,['8042'],27.6BBD,殽,b'\xe6\xae\xbd'
1962,['3892'],27.6BC5,毅,b'\xe6\xaf\x85'
1963,['35782'],27.F086,,b'\xef\x82\x86'
1964,['582'],27.5F79,役,b'\xe5\xbd\xb9'
1964,['20580'],27.E2A9,,b'\xee\x8a\xa9'
1965,['35764'],27.E2AA,,b'\xee\x8a\xaa'
1966,['2198'],27.6BBA,殺,b'\xe6\xae\xba'
1966,['2198'],27.E2AB,,b'\xee\x8a\xab'
1966,['2198'],27.E2AC,,b'\xee\x8a\xac'
1966,['2198'],27.EDB0,,b'\xee\xb6\xb0'
1967,['2993'],27.5F12,弒,b'\xe5\xbc\x92'
1968,['21471'],27.F489,,b'\xef\x92\x89'
1969,['21481'],27.E2AE,,b'\xee\x8a\xae'
1970,['9152'],27.9CE7,鳧,b'\xe9\xb3\xa7'
1971,['48'],27.5BF8,寸,b'\xe5\xaf\xb8'
1972,['371'],27.5BFA,寺,b'\xe5\xaf\xba'
1973,['2056'],27.5C07,將,b'\xe5\xb0\x87'
1974,['2526'],27.5C0B,尋,b'\xe5\xb0\x8b'
1975,['2055'],27.5C08,專,b'\xe5\xb0\x88'
1976,['6699'],27.5C03,尃,b'\xe5\xb0\x83'
1977,['4186'],27.5C0E,導,b'\xe5\xb0\x8e'
1978,['274'],27.76AE,皮,b'\xe7\x9a\xae'
1978,['274'],27.E2AF,,b'\xee\x8a\xaf'
1978,['274'],27.E2B0,,b'\xee\x8a\xb0'
1979,['1776'],27.76B0,皰,b'\xe7\x9a\xb0'
1980,['6083'],27.76AF,皯,b'\xe7\x9a\xaf'
1981,['9454'],27.76B8,皸,b'\xe7\x9a\xb8'
1982,['2720'],27.76B4,皴,b'\xe7\x9a\xb4'
1983,['31061'],27.F39D,,b'\xef\x8e\x9d'
1983,['27423'],27.E2B1,,b'\xee\x8a\xb1'
1983,['31017'],27.E2B2,,b'\xee\x8a\xb2'
1984,['31125'],27.E2B3,,b'\xee\x8a\xb3'
1984,['44692'],27.E2B4,,b'\xee\x8a\xb4'
1985,['31257'],27.F654,,b'\xef\x99\x94'
1986,['2154'],27.555F,啟,b'\xe5\x95\x9f'
1987,['3453'],27.5FB9,徹,b'\xe5\xbe\xb9'
1987,['3453'],27.E2B5,,b'\xee\x8a\xb5'
1988,['3618'],27.8087,肇,b'\xe8\x82\x87'
1989,['2155'],27.654F,敏,b'\xe6\x95\x8f'
1990,['6321'],27.6543,敃,b'\xe6\x95\x83'
1991,['31312'],27.F126,,b'\xef\x84\xa6'
1992,['31304'],27.E2B6,,b'\xee\x8a\xb6'
1993,['4212'],27.6574,整,b'\xe6\x95\xb4'
1994,['1669'],27.6548,效,b'\xe6\x95\x88'
1995,['1264'],27.6545,故,b'\xe6\x95\x85'
1996,['1263'],27.653F,政,b'\xe6\x94\xbf'
1997,['31261'],27.E2B7,,b'\xee\x8a\xb7'
1998,['31469'],27.E2B8,,b'\xee\x8a\xb8'
1999,['31400'],27.E2B9,,b'\xee\x8a\xb9'
2000,['31576'],27.E2BA,,b'\xee\x8a\xba'
2001,['3869'],27.6578,數,b'\xe6\x95\xb8'
2002,['32836'],27.E2BB,,b'\xee\x8a\xbb'
2003,['556'],27.5B5C,孜,b'\xe5\xad\x9c'
2004,['5968'],27.653D,攽,b'\xe6\x94\xbd'
2005,['31350'],27.E2BC,,b'\xee\x8a\xbc'
2006,['9316'],27.6573,敳,b'\xe6\x95\xb3'
2007,['2590'],27.655E,敞,b'\xe6\x95\x9e'
2008,['31369'],27.E2BD,,b'\xee\x8a\xbd'
2009,['613'],27.6539,改,b'\xe6\x94\xb9'
2010,['5304'],27.8B8A,變,b'\xe8\xae\x8a'
2011,['617'],27.66F4,更,b'\xe6\x9b\xb4'
2012,['2157'],27.6555,敕,b'\xe6\x95\x95'
2013,['41605'],27.E2BE,,b'\xee\x8a\xbe'
2014,['4495'],27.6582,斂,b'\xe6\x96\x82'
2015,['9891'],27.6579,敹,b'\xe6\x95\xb9'
2016,['10504'],27.657F,敿,b'\xe6\x95\xbf'
2017,['6766'],27.6546,敆,b'\xe6\x95\x86'
2018,['9889'],27.6576,敶,b'\xe6\x95\xb6'
2019,['3867'],27.6575,敵,b'\xe6\x95\xb5'
2020,['2151'],27.6551,救,b'\xe6\x95\x91'
2021,['7355'],27.6553,敓,b'\xe6\x95\x93'
2022,['11037'],27.6581,斁,b'\xe6\x96\x81'
2023,['2398'],27.8D66,赦,b'\xe8\xb5\xa6'
2023,['31339'],27.E2BF,,b'\xee\x8a\xbf'
2024,['615'],27.6538,攸,b'\xe6\x94\xb8'
2024,['615'],27.E2C0,,b'\xee\x8b\x80'
2025,['31265'],27.E2C1,,b'\xee\x8b\x81'
2026,['1670'],27.6549,敉,b'\xe6\x95\x89'
2026,['20688'],27.E2C2,,b'\xee\x8b\x82'
2027,['31381'],27.E2C3,,b'\xee\x8b\x83'
2028,['31436'],27.E2C4,,b'\xee\x8b\x84'
2029,['2591'],27.6566,敦,b'\xe6\x95\xa6'
2030,['31543'],27.E2C5,,b'\xee\x8b\x85'
2031,['2153'],27.6557,敗,b'\xe6\x95\x97'
2031,['2153'],27.E2C6,,b'\xee\x8b\x86'
2032,['31512'],27.E2C7,,b'\xee\x8b\x87'
2033,['2048'],27.5BC7,寇,b'\xe5\xaf\x87'
2034,['31463'],27.E2C8,,b'\xee\x8b\x88'
2035,['31445'],27.E2C9,,b'\xee\x8b\x89'
2035,['7170'],28.526B,剫,b'\xe5\x89\xab'
2036,['7968'],27.655C,敜,b'\xe6\x95\x9c'
2037,['31496'],27.E2CA,,b'\xee\x8b\x8a'
2038,['389'],27.6536,收,b'\xe6\x94\xb6'
2039,['59939'],27.EE8C,,b'\xee\xba\x8c'
2040,['5708'],27.6537,攷,b'\xe6\x94\xb7'
2041,['31307'],27.E2CC,,b'\xee\x8b\x8c'
2042,['614'],27.653B,攻,b'\xe6\x94\xbb'
2043,['3477'],27.6572,敲,b'\xe6\x95\xb2'
2044,['31377'],27.E2CD,,b'\xee\x8b\x8d'
2045,['31328'],27.E2CE,,b'\xee\x8b\x8e'
2046,['20237'],27.F4AD,,b'\xef\x92\xad'
2047,['11038'],27.6580,斀,b'\xe6\x96\x80'
2048,['8639'],27.668B,暋,b'\xe6\x9a\x8b'
2049,['2158'],27.6554,敔,b'\xe6\x95\x94'
2050,['7967'],27.6564,敤,b'\xe6\x95\xa4'
2051,['8437'],27.9219,鈙,b'\xe9\x88\x99'
2052,['31535'],27.E2CF,,b'\xee\x8b\x8f'
2053,['1362'],27.754B,畋,b'\xe7\x95\x8b'
2054,['31266'],27.E2D0,,b'\xee\x8b\x90'
2055,['2156'],27.6558,敘,b'\xe6\x95\x98'
2056,['31386'],27.E2D1,,b'\xee\x8b\x91'
2057,['31385'],27.E2D2,,b'\xee\x8b\x92'
2058,['1015'],27.7267,牧,b'\xe7\x89\xa7'
2059,['31331'],27.F0E4,,b'\xef\x83\xa4'
2060,['31542'],27.E2D3,,b'\xee\x8b\x93'
2061,['31501'],27.E2D4,,b'\xee\x8b\x94'
2062,['2152'],27.6559,教,b'\xe6\x95\x99'
2062,['2152'],27.E2D5,,b'\xee\x8b\x95'
2062,['2152'],27.EDB5,,b'\xee\xb6\xb5'
2063,['60877'],27.F0A8,,b'\xef\x82\xa8'
2063,['4184'],27.5B78,學,b'\xe5\xad\xb8'
2064,['19'],27.535C,卜,b'\xe5\x8d\x9c'
2064,['19'],27.F2B5,,b'\xef\x8a\xb5'
2065,['777'],27.5366,卦,b'\xe5\x8d\xa6'
2066,['20401'],27.E2D7,,b'\xee\x8b\x97'
2067,['1465'],27.8C9E,貞,b'\xe8\xb2\x9e'
2068,['20432'],27.E2D8,,b'\xee\x8b\x98'
2069,['195'],27.5360,占,b'\xe5\x8d\xa0'
2070,['20414'],27.E2D9,,b'\xee\x8b\x99'
2071,['20425'],27.E2DA,,b'\xee\x8b\x9a'
2071,['312'],27.5146,兆,b'\xe5\x85\x86'
2072,['266'],27.7528,用,b'\xe7\x94\xa8'
2072,['266'],27.E2DB,,b'\xee\x8b\x9b'
2073,['671'],27.752B,甫,b'\xe7\x94\xab'
2074,['2079'],27.5EB8,庸,b'\xe5\xba\xb8'
2075,['45711'],27.F07E,,b'\xef\x81\xbe'
2076,['8145'],27.752F,甯,b'\xe7\x94\xaf'
2077,['151'],27.723B,爻,b'\xe7\x88\xbb'
2078,['29368'],27.F4B2,,b'\xef\x92\xb2'
2079,['19960'],27.F0F4,,b'\xef\x83\xb4'
2080,['3541'],27.723E,爾,b'\xe7\x88\xbe'
2081,['2245'],27.723D,爽,b'\xe7\x88\xbd'
2081,['2245'],27.F2CB,,b'\xef\x8b\x8b'
2082,['38460'],27.F39E,,b'\xef\x8e\x9e'
2083,['9892'],27.657B,敻,b'\xe6\x95\xbb'
2084,['11355'],27.95C5,闅,b'\xe9\x97\x85'
2085,['23648'],27.E2DC,,b'\xee\x8b\x9c'
2086,['276'],27.76EE,目,b'\xe7\x9b\xae'
2086,['276'],27.E2DD,,b'\xee\x8b\x9d'
2087,['2281'],27.773C,眼,b'\xe7\x9c\xbc'
2088,['38924'],27.E2DE,,b'\xee\x8b\x9e'
2089,['1780'],27.7729,眩,b'\xe7\x9c\xa9'
2090,['7521'],27.7725,眥,b'\xe7\x9c\xa5'
2091,['38606'],27.E2DF,,b'\xee\x8b\x9f'
2092,['38984'],27.E2E0,,b'\xee\x8b\xa0'
2093,['38868'],27.E2E1,,b'\xee\x8b\xa1'
2094,['12207'],27.77CF,矏,b'\xe7\x9f\x8f'
2095,['38668'],27.E2E3,,b'\xee\x8b\xa3'
2096,['38662'],27.E2E4,,b'\xee\x8b\xa4'
2097,['8163'],27.7745,睅,b'\xe7\x9d\x85'
2097,['8159'],27.7746,睆,b'\xe7\x9d\x86'
2098,['38745'],27.E2E5,,b'\xee\x8b\xa5'
2099,['4278'],27.779E,瞞,b'\xe7\x9e\x9e'
2100,['38758'],27.E2E6,,b'\xee\x8b\xa6'
2101,['12863'],27.77D5,矕,b'\xe7\x9f\x95'
2102,['8825'],27.7754,睔,b'\xe7\x9d\x94'
2103,['1382'],27.76FC,盼,b'\xe7\x9b\xbc'
2104,['6086'],27.76F0,盰,b'\xe7\x9b\xb0'
2105,['6473'],27.7705,眅,b'\xe7\x9c\x85'
2106,['8162'],27.774D,睍,b'\xe7\x9d\x8d'
2107,['12761'],27.77D4,矔,b'\xe7\x9f\x94'
2108,['11112'],27.77B5,瞵,b'\xe7\x9e\xb5'
2109,['6965'],27.7A85,窅,b'\xe7\xaa\x85'
2110,['6474'],27.770A,眊,b'\xe7\x9c\x8a'
2111,['12931'],27.77D8,矘,b'\xe7\x9f\x98'
2112,['8820'],27.7752,睒,b'\xe7\x9d\x92'
2113,['38565'],27.E2E7,,b'\xee\x8b\xa7'
2114,['38530'],27.E2E8,,b'\xee\x8b\xa8'
2115,['11117'],27.77B4,瞴,b'\xe7\x9e\xb4'
2116,['38444'],27.E2E9,,b'\xee\x8b\xa9'
2116,['38543'],27.E2EA,,b'\xee\x8b\xaa'
2117,['8167'],27.774C,睌,b'\xe7\x9d\x8c'
2118,['38472'],27.E2EB,,b'\xee\x8b\xab'
2119,['3146'],27.7768,睨,b'\xe7\x9d\xa8'
2120,['38733'],27.E2EC,,b'\xee\x8b\xac'
2121,['6925'],27.7713,眓,b'\xe7\x9c\x93'
2122,['6470'],27.7708,眈,b'\xe7\x9c\x88'
2123,['22652'],27.E2ED,,b'\xee\x8b\xad'
2124,['6085'],27.76F1,盱,b'\xe7\x9b\xb1'
2125,['10046'],27.778F,瞏,b'\xe7\x9e\x8f'
2126,['38933'],27.E2EE,,b'\xee\x8b\xae'
2127,['38474'],27.E2EF,,b'\xee\x8b\xaf'
2128,['6929'],27.7715,眕,b'\xe7\x9c\x95'
2129,['4279'],27.779F,瞟,b'\xe7\x9e\x9f'
2130,['38849'],27.E2F0,,b'\xee\x8b\xb0'
2131,['3141'],27.7779,睹,b'\xe7\x9d\xb9'
2131,['49425'],27.E2F1,,b'\xee\x8b\xb1'
2132,['42855'],27.F5C7,,b'\xef\x97\x87'
2133,['3561'],27.777D,睽,b'\xe7\x9d\xbd'
2134,['38495'],27.E2F2,,b'\xee\x8b\xb2'
2135,['38801'],27.E2F3,,b'\xee\x8b\xb3'
2136,['52347'],27.E2F4,,b'\xee\x8b\xb4'
2137,['7520'],27.773D,眽,b'\xe7\x9c\xbd'
2138,['38791'],27.E2F5,,b'\xee\x8b\xb5'
2139,['38690'],27.E2F6,,b'\xee\x8b\xb6'
2140,['38900'],27.E2F7,,b'\xee\x8b\xb7'
2141,['11896'],27.77C9,矉,b'\xe7\x9f\x89'
2142,['6932'],27.7722,眢,b'\xe7\x9c\xa2'
2143,['3147'],27.7762,睢,b'\xe7\x9d\xa2'
2144,['38416'],27.F125,,b'\xef\x84\xa5'
2144,['7518'],27.7734,眴,b'\xe7\x9c\xb4'
2145,['38909'],27.E2F8,,b'\xee\x8b\xb8'
2146,['3138'],27.7766,睦,b'\xe7\x9d\xa6'
2146,['23049'],27.F047,,b'\xef\x81\x87'
2147,['4777'],27.77BB,瞻,b'\xe7\x9e\xbb'
2148,['9460'],27.7780,瞀,b'\xe7\x9e\x80'
2149,['38883'],27.E2F9,,b'\xee\x8b\xb9'
2150,['38948'],27.E2FA,,b'\xee\x8b\xba'
2151,['38700'],27.E2FB,,b'\xee\x8b\xbb'
2152,['1378'],27.76F8,相,b'\xe7\x9b\xb8'
2153,['3943'],27.778B,瞋,b'\xe7\x9e\x8b'
2153,['38551'],27.E2FC,,b'\xee\x8b\xbc'
2154,['10646'],27.7797,瞗,b'\xe7\x9e\x97'
2155,['38675'],27.EDBB,,b'\xee\xb6\xbb'
2156,['8164'],27.774A,睊,b'\xe7\x9d\x8a'
2157,['38811'],27.E2FE,,b'\xee\x8b\xbe'
2158,['9456'],27.777C,睼,b'\xe7\x9d\xbc'
2159,['38784'],27.E2FF,,b'\xee\x8b\xbf'
2160,['38762'],27.E300,,b'\xee\x8c\x80'
2161,['2279'],27.7737,眷,b'\xe7\x9c\xb7'
2162,['3140'],27.7763,督,b'\xe7\x9d\xa3'
2163,['8165'],27.774E,睎,b'\xe7\x9d\x8e'
2164,['1380'],27.770B,看,b'\xe7\x9c\x8b'
2164,['38774'],27.E301,,b'\xee\x8c\x81'
2165,['11113'],27.77AB,瞫,b'\xe7\x9e\xab'
2166,['3563'],27.7761,睡,b'\xe7\x9d\xa1'
2167,['3942'],27.7791,瞑,b'\xe7\x9e\x91'
2168,['6931'],27.771A,眚,b'\xe7\x9c\x9a'
2169,['4280'],27.77A5,瞥,b'\xe7\x9e\xa5'
2170,['7523'],27.7735,眵,b'\xe7\x9c\xb5'
2171,['38908'],27.E302,,b'\xee\x8c\x82'
2172,['38485'],27.E303,,b'\xee\x8c\x83'
2173,['38649'],27.E304,,b'\xee\x8c\x84'
2174,['6923'],27.771B,眛,b'\xe7\x9c\x9b'
2175,['11115'],27.77B7,瞷,b'\xe7\x9e\xb7'
2176,['7514'],27.772F,眯,b'\xe7\x9c\xaf'
2177,['2284'],27.773A,眺,b'\xe7\x9c\xba'
2178,['3139'],27.775E,睞,b'\xe7\x9d\x9e'
2179,['8823'],27.7769,睩,b'\xe7\x9d\xa9'
2180,['38623'],27.E305,,b'\xee\x8c\x85'
2180,['38420'],27.E306,,b'\xee\x8c\x86'
2181,['6927'],27.7723,眣,b'\xe7\x9c\xa3'
2182,['4939'],27.77C7,矇,b'\xe7\x9f\x87'
2183,['1383'],27.7707,眇,b'\xe7\x9c\x87'
2184,['6472'],27.7704,眄,b'\xe7\x9c\x84'
2185,['38580'],27.E307,,b'\xee\x8c\x87'
2186,['1033'],27.76F2,盲,b'\xe7\x9b\xb2'
2187,['38721'],27.E308,,b'\xee\x8c\x88'
2188,['4775'],27.77BD,瞽,b'\xe7\x9e\xbd'
2189,['10045'],27.778D,瞍,b'\xe7\x9e\x8d'
2190,['38808'],27.E309,,b'\xee\x8c\x89'
2191,['38630'],27.E30A,,b'\xee\x8c\x8a'
2192,['38491'],27.F0F0,,b'\xef\x83\xb0'
2193,['8160'],27.7747,睇,b'\xe7\x9d\x87'
2194,['10637'],27.779A,瞚,b'\xe7\x9e\x9a'
2195,['6930'],27.7719,眙,b'\xe7\x9c\x99'
2196,['6922'],27.771D,眝,b'\xe7\x9c\x9d'
2197,['6476'],27.76FB,盻,b'\xe7\x9b\xbb'
2198,['38536'],27.E30B,,b'\xee\x8c\x8b'
2199,['4778'],27.77BC,瞼,b'\xe7\x9e\xbc'
2200,['1783'],27.7728,眨,b'\xe7\x9c\xa8'
2201,['7515'],27.772D,眭,b'\xe7\x9c\xad'
2202,['7513'],27.7739,眹,b'\xe7\x9c\xb9'
2203,['2283'],27.7738,眸,b'\xe7\x9c\xb8'
2204,['8822'],27.775A,睚,b'\xe7\x9d\x9a'
2205,['38505'],27.F128,,b'\xef\x84\xa8'
2206,['42893'],27.F4B4,,b'\xef\x92\xb4'
2207,['38659'],27.F4B6,,b'\xef\x92\xb6'
2208,['1379'],27.7709,眉,b'\xe7\x9c\x89'
2209,['1376'],27.7701,省,b'\xe7\x9c\x81'
2209,['1376'],27.E30D,,b'\xee\x8c\x8d'
2210,['1381'],27.76FE,盾,b'\xe7\x9b\xbe'
2211,['9458'],27.7782,瞂,b'\xe7\x9e\x82'
2212,['23230'],27.E30E,,b'\xee\x8c\x8e'
2213,['436'],27.81EA,自,b'\xe8\x87\xaa'
2213,['436'],27.F1BE,,b'\xef\x86\xbe'
2214,['44088'],27.F078,,b'\xef\x81\xb8'
2215,['19909'],27.F1F4,,b'\xef\x87\xb4'
2216,['1369'],27.7686,皆,b'\xe7\x9a\x86'
2217,['4143'],27.9B6F,魯,b'\xe9\xad\xaf'
2218,['1049'],27.8005,者,b'\xe8\x80\x85'
2219,['40118'],27.E30F,,b'\xee\x8c\x8f'
2220,['2603'],27.667A,智,b'\xe6\x99\xba'
2220,['2603'],27.E310,,b'\xee\x8c\x90'
2221,['419'],27.767E,百,b'\xe7\x99\xbe'
2221,['419'],28.F5D7,,b'\xef\x97\x97'
2222,['3757'],27.9F3B,鼻,b'\xe9\xbc\xbb'
2223,['60170'],27.E311,,b'\xee\x8c\x91'
2224,['4724'],27.9F3E,鼾,b'\xe9\xbc\xbe'
2225,['10983'],27.9F3D,鼽,b'\xe9\xbc\xbd'
2226,['12730'],27.9F42,齂,b'\xe9\xbd\x82'
2227,['8156'],27.7695,皕,b'\xe7\x9a\x95'
2228,['3798'],27.596D,奭,b'\xe5\xa5\xad'
2228,['3798'],27.F29F,,b'\xef\x8a\x9f'
2229,['2324'],27.7FD2,習,b'\xe7\xbf\x92'
2230,['10103'],27.7FEB,翫,b'\xe7\xbf\xab'
2231,['425'],27.7FBD,羽,b'\xe7\xbe\xbd'
2232,['10107'],27.7FE8,翨,b'\xe7\xbf\xa8'
2233,['4313'],27.7FF0,翰,b'\xe7\xbf\xb0'
2234,['3615'],27.7FDF,翟,b'\xe7\xbf\x9f'
2235,['3614'],27.7FE1,翡,b'\xe7\xbf\xa1'
2236,['3613'],27.7FE0,翠,b'\xe7\xbf\xa0'
2237,['10106'],27.7FE6,翦,b'\xe7\xbf\xa6'
2238,['1836'],27.7FC1,翁,b'\xe7\xbf\x81'
2239,['1835'],27.7FC5,翅,b'\xe7\xbf\x85'
2239,['46875'],27.E312,,b'\xee\x8c\x92'
2240,['46963'],27.E313,,b'\xee\x8c\x93'
2241,['4801'],27.7FF9,翹,b'\xe7\xbf\xb9'
2242,['10102'],27.7FED,翭,b'\xe7\xbf\xad'
2243,['4315'],27.7FEE,翮,b'\xe7\xbf\xae'
2244,['46897'],27.E314,,b'\xee\x8c\x94'
2245,['1412'],27.7FBF,羿,b'\xe7\xbe\xbf'
2246,['9545'],27.7FE5,翥,b'\xe7\xbf\xa5'
2247,['2763'],27.7FD5,翕,b'\xe7\xbf\x95'
2248,['11932'],27.7FFE,翾,b'\xe7\xbf\xbe'
2249,['10105'],27.7FEC,翬,b'\xe7\xbf\xac'
2250,['7597'],27.7FCF,翏,b'\xe7\xbf\x8f'
2251,['3989'],27.7FE9,翩,b'\xe7\xbf\xa9'
2252,['8904'],27.7FDC,翜,b'\xe7\xbf\x9c'
2253,['7591'],27.7FCA,翊,b'\xe7\xbf\x8a'
2254,['46871'],27.F4A6,,b'\xef\x92\xa6'
2255,['46881'],27.E315,,b'\xee\x8c\x95'
2256,['4314'],27.7FF1,翱,b'\xe7\xbf\xb1'
2257,['2762'],27.7FD4,翔,b'\xe7\xbf\x94'
2258,['11931'],27.7FFD,翽,b'\xe7\xbf\xbd'
2259,['10713'],27.7FEF,翯,b'\xe7\xbf\xaf'
2260,['46866'],27.E316,,b'\xee\x8c\x96'
2261,['7596'],27.7FC7,翇,b'\xe7\xbf\x87'
2262,['12232'],27.7FFF,翿,b'\xe7\xbf\xbf'
2263,['4597'],27.7FF3,翳,b'\xe7\xbf\xb3'
2264,['9544'],27.7FE3,翣,b'\xe7\xbf\xa3'
2265,['4802'],27.7FFB,翻,b'\xe7\xbf\xbb'
2266,['2323'],27.7FCE,翎,b'\xe7\xbf\x8e'
2267,['46857'],27.E317,,b'\xee\x8c\x97'
2268,['1101'],27.96B9,隹,b'\xe9\x9a\xb9'
2269,['2903'],27.96C5,雅,b'\xe9\x9b\x85'
2270,['1953'],27.96BB,隻,b'\xe9\x9a\xbb'
2271,['3734'],27.96D2,雒,b'\xe9\x9b\x92'
2272,['10910'],27.95B5,閵,b'\xe9\x96\xb5'
2272,['54546'],27.E318,,b'\xee\x8c\x98'
2273,['11732'],27.5DC2,巂,b'\xe5\xb7\x82'
2274,['52863'],27.E319,,b'\xee\x8c\x99'
2275,['2440'],27.96C0,雀,b'\xe9\x9b\x80'
2276,['30284'],27.E31A,,b'\xee\x8c\x9a'
2277,['11730'],27.96D7,雗,b'\xe9\x9b\x97'
2278,['3344'],27.96C9,雉,b'\xe9\x9b\x89'
2278,['3344'],27.E31B,,b'\xee\x8c\x9b'
2279,['3345'],27.96CA,雊,b'\xe9\x9b\x8a'
2280,['4864'],27.96DE,雞,b'\xe9\x9b\x9e'
2280,['58614'],27.E31C,,b'\xee\x8c\x9c'
2281,['4863'],27.96DB,雛,b'\xe9\x9b\x9b'
2281,['12558'],27.9DB5,鶵,b'\xe9\xb6\xb5'
2282,['12053'],27.96E1,雡,b'\xe9\x9b\xa1'
2283,['4860'],27.96E2,離,b'\xe9\x9b\xa2'
2284,['4407'],27.96D5,雕,b'\xe9\x9b\x95'
2284,['12129'],27.9D70,鵰,b'\xe9\xb5\xb0'
2285,['40548'],27.EDED,,b'\xee\xb7\xad'
2285,['5353'],27.9DF9,鷹,b'\xe9\xb7\xb9'
2286,['52879'],27.E31E,,b'\xee\x8c\x9e'
2286,['10973'],27.9D1F,鴟,b'\xe9\xb4\x9f'
2287,['52954'],27.E31F,,b'\xee\x8c\x9f'
2288,['8453'],27.96C3,雃,b'\xe9\x9b\x83'
2289,['3342'],27.96CD,雍,b'\xe9\x9b\x8d'
2290,['8451'],27.96C2,雂,b'\xe9\x9b\x82'
2291,['2902'],27.96C1,雁,b'\xe9\x9b\x81'
2292,['53073'],27.E320,,b'\xee\x8c\xa0'
2293,['52897'],27.F647,,b'\xef\x99\x87'
2294,['52885'],27.E321,,b'\xee\x8c\xa1'
2294,['58280'],27.E322,,b'\xee\x8c\xa2'
2295,['2906'],27.96C7,雇,b'\xe9\x9b\x87'
