小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary)
85,['8142'],27.7420,琠,b'\xe7\x90\xa0'
86,['29016'],27.E018,,b'\xee\x80\x98'
87,['60788'],27.E019,,b'\xee\x80\x99'
88,['10619'],27.74A0,璠,b'\xe7\x92\xa0'
89,['11527'],27.74B5,璵,b'\xe7\x92\xb5'
90,['3926'],27.747E,瑾,b'\xe7\x91\xbe'
91,['3122'],27.745C,瑜,b'\xe7\x91\x9c'
92,['5760'],27.7392,玒,b'\xe7\x8e\x92'
93,['28822'],27.E01A,,b'\xee\x80\x9a'
94,['4933'],27.74CA,瓊,b'\xe7\x93\x8a'
94,['10618'],27.749A,璚,b'\xe7\x92\x9a'
94,['12612'],27.74D7,瓗,b'\xe7\x93\x97'
94,['7490'],27.7401,琁,b'\xe7\x90\x81'
95,['28740'],27.E01B,,b'\xee\x80\x9b'
96,['28831'],27.E01C,,b'\xee\x80\x9c'
97,['6894'],27.73E3,珣,b'\xe7\x8f\xa3'
98,['11095'],27.7490,璐,b'\xe7\x92\x90'
99,['5292'],27.74DA,瓚,b'\xe7\x93\x9a'
100,['3121'],27.745B,瑛,b'\xe7\x91\x9b'
101,['28930'],27.E01D,,b'\xee\x80\x9d'
102,['6898'],27.73DB,珛,b'\xe7\x8f\x9b'
103,['4770'],27.74BF,璿,b'\xe7\x92\xbf'
103,['28926'],27.E01E,,b'\xee\x80\x9e'
103,['10422'],28.53E1,叡,b'\xe5\x8f\xa1'
104,['2256'],27.7403,球,b'\xe7\x90\x83'
104,['10022'],27.7486,璆,b'\xe7\x92\x86'
105,['2695'],27.7433,琳,b'\xe7\x90\xb3'
106,['4769'],27.74A7,璧,b'\xe7\x92\xa7'
107,['8783'],27.7457,瑗,b'\xe7\x91\x97'
108,['4543'],27.74B0,環,b'\xe7\x92\xb0'
109,['4264'],27.749C,璜,b'\xe7\x92\x9c'
110,['8129'],27.742E,琮,b'\xe7\x90\xae'
111,['2697'],27.7425,琥,b'\xe7\x90\xa5'
112,['5071'],27.74CF,瓏,b'\xe7\x93\x8f'
113,['8130'],27.742C,琬,b'\xe7\x90\xac'
