楷書編號(網址),小篆編號,筆畫
169,4930,5
5440,4971,5
5442,4976,5
20529,5010,5
167,5032,5
172,5057,5
168,5081,5
124,5159,5
5444,5164,5
189,5205,5
161,5207,5
448,5228,5
5455,5381,5
227,5384,5
176,5433,5
177,5434,5
235,5439,5
235,5439,5
20516,5683,5
207,5741,5
20180,5743,5
173,5747,5
107,5752,5
187,5784,5
25520,5826,5
5659,5867,5
25516,5884,5
20147,5945,5
20151,5965,5
279,5978,5
1093,6036,5
1093,6036,5
1093,6036,5
178,6042,5
699,6045,5
699,6045,5
259,6307,5
5469,6319,5
291,6580,5
23543,6620,5
23545,6626,5
283,6642,5
5466,6947,5
258,7143,5
5467,7204,5
31586,7272,5
257,7314,5
256,7356,5
114,7388,5
255,7455,5
180,7476,5
180,7476,5
20648,7537,5
20648,7537,5
36588,7685,5
222,7936,5
241,7975,5
5463,7981,5
240,8064,5
252,8097,5
547,8104,5
547,8104,5
223,8119,5
27936,8119,5
253,8314,5
253,8314,5
237,8318,5
254,8326,5
5462,8356,5
163,8369,5
21330,8372,5
5446,8384,5
6080,8402,5
6080,8402,5
263,8407,5
236,8450,5
180,8544,5
226,8946,5
23803,8966,5
22699,8990,5
21796,8991,5
5449,9047,5
268,9123,5
186,9165,5
185,9194,5
21483,9420,5
21482,9421,5
160,9422,5
277,9457,5
277,9457,5
5474,9571,5
53096,9634,5
218,9669,5
218,9669,5
5452,9670,5
5472,9681,5
270,9690,5
270,9690,5
157,9695,5
239,9697,5
225,9716,5
196,9743,5
196,9743,5
166,9747,5
248,9750,5
271,9751,5
271,9751,5
271,9751,5
330,5,6
23804,77,6
261,81,6
261,81,6
5564,152,6
28658,181,6
5569,240,6
444,389,6
5571,427,6
5570,469,6
31591,608,6
193,629,6
5572,630,6
5573,657,6
418,731,6
417,750,6
338,835,6
329,875,6
333,883,6
340,887,6
343,908,6
334,912,6
23950,917,6
336,932,6
23937,970,6
402,1082,6
251,1086,6
251,1086,6
251,1086,6
447,1265,6
179,1428,6
179,1428,6
439,1437,6
27887,1442,6
19835,1444,6
19835,1444,6
105,1468,6
40772,1736,6
284,1748,6
5525,1753,6
22522,1763,6
315,1766,6
315,1766,6
5418,1874,6
22681,1878,6
212,1923,6
45380,1927,6
431,1930,6
435,1943,6
20580,1964,6
2198,1966,6
2198,1966,6
2198,1966,6
2198,1966,6
371,1972,6
389,2038,6
5708,2040,6
312,2071,6
266,2072,6
266,2072,6
