字體編號,楷書字體編號,楷書字型
27.E310,0.667A,智
27.767E,0.767E,百
28.F5D7,0.767E,百
27.9F3B,0.9F3B,鼻
27.E311,7.EC0D,齅
27.9F3E,0.9F3E,鼾
27.9F3D,0.9F3D,鼽
27.9F42,0.9F42,齂
27.7695,0.7695,皕
27.596D,0.596D,奭
27.F29F,0.596D,奭
27.7FD2,0.7FD2,習
27.7FEB,0.7FEB,翫
27.7FBD,0.7FBD,羽
27.7FE8,0.7FE8,翨
27.7FF0,0.7FF0,翰
27.7FDF,0.7FDF,翟
27.7FE1,0.7FE1,翡
27.7FE0,0.7FE0,翠
27.7FE6,0.7FE6,翦
27.7FC1,0.7FC1,翁
27.7FC5,0.7FC5,翅
27.E312,5.E8B0,𦐊
27.E313,5.E908,𦑜
27.7FF9,0.7FF9,翹
27.7FED,0.7FED,翭
27.7FEE,0.7FEE,翮
27.E314,5.E8C6,𦐛
27.7FBF,0.7FBF,羿
27.7FE5,0.7FE5,翥
27.7FD5,0.7FD5,翕
27.7FFE,0.7FFE,翾
27.7FEC,0.7FEC,翬
27.7FCF,0.7FCF,翏
27.7FE9,0.7FE9,翩
27.7FDC,0.7FDC,翜
27.7FCA,0.7FCA,翊
27.F4A6,0.F4A6,𦐇
27.E315,5.E8B6,𦐉
27.7FF1,0.7FF1,翱
27.7FD4,0.7FD4,翔
27.7FFD,0.7FFD,翽
27.7FEF,0.7FEF,翯
27.E316,5.E8A7,䍿
27.7FC7,0.7FC7,翇
27.7FFF,0.7FFF,翿
27.7FF3,0.7FF3,翳
27.7FE3,0.7FE3,翣
27.7FFB,0.7FFB,翻
27.7FCE,0.7FCE,翎
27.E317,5.E89E,𦏺
27.96B9,0.96B9,隹
27.96C5,0.96C5,雅
27.96BB,0.96BB,隻
27.96D2,0.96D2,雒
27.95B5,0.95B5,閵
27.E318,6.EE5E,𨶄
27.5DC2,0.5DC2,巂
27.E319,6.E7CB,𨾔
27.96C0,0.96C0,雀
27.E31A,2.F0BC,猚
27.96D7,0.96D7,雗
27.96C9,0.96C9,雉
27.E31B,0.96C9,雉
27.96CA,0.96CA,雊
27.96DE,0.96DE,雞
27.E31C,7.E5F9,鷄
27.96DB,0.96DB,雛
27.9DB5,0.9DB5,鶵
27.96E1,0.96E1,雡
27.96E2,0.96E2,離
27.96D5,0.96D5,雕
27.9D70,0.9D70,鵰
27.EDED,0.EDED,𤸰
27.9DF9,0.9DF9,鷹
27.E31E,6.E7DB,𨾦
27.9D1F,0.9D1F,鴟
27.E31F,6.E826,𨿠
27.96C3,0.96C3,雃
27.96CD,0.96CD,雍
27.96C2,0.96C2,雂
27.96C1,0.96C1,雁
27.E320,6.E89D,𩁟
27.F647,0.F647,雐
27.E321,6.E7E1,𨾯
27.E322,7.E4AB,鴑
27.96C7,0.96C7,雇
27.E323,7.E623,𪄮
27.E324,7.E45F,𩿇
27.E325,6.E82D,𨿡
27.E326,6.E864,䨄
27.E327,7.E633,䳺
27.E328,6.E7C0,䧴
27.E329,6.E7B6,𨾊
27.E32A,7.E411,䲨
27.E32B,2.F5B2,𣀧
27.96BF,0.96BF,隿
27.96C4,0.96C4,雄
27.96CC,0.96CC,雌
27.E32C,4.F171,䍜
27.96CB,0.96CB,雋
27.E32D,6.E87F,𩁌
27.F5F1,0.F5F1,奞
27.596A,0.596A,奪
27.596E,0.596E,奮
27.96C8,0.96C8,雈
27.F5C5,0.F5C5,蒦
27.E32E,2.E574,彠
27.96DA,0.96DA,雚
27.820A,0.820A,舊
27.9D42,0.9D42,鵂
27.F478,0.F478,𦫳
27.4E56,0.4E56,乖
27.E32F,5.E30E,芇
27.F10B,0.F10B,𥄕
27.77A2,0.77A2,瞢
27.E330,3.EF84,𤊾
27.8511,0.8511,蔑
27.7F8A,0.7F8A,羊
27.7F8B,0.7F8B,羋
27.7F94,0.7F94,羔
27.7F9C,0.7F9C,羜
27.E331,5.E16A,𦎦
27.7F8D,0.7F8D,羍
27.E332,0.7F8D,羍
27.E333,5.E139,䍮
27.7F9D,0.7F9D,羝
27.7F92,0.7F92,羒
27.7242,0.7242,牂
27.7FAD,0.7FAD,羭
27.7F96,0.7F96,羖
27.7FAF,0.7FAF,羯
27.7FA0,0.7FA0,羠
27.7FB3,0.7FB3,羳
27.7FA5,0.7FA5,羥
27.E334,5.E175,𦎷
27.7FB8,0.7FB8,羸
27.E335,5.E157,䍴
27.E336,5.E173,𦎸
27.7FA4,0.7FA4,群
27.E337,5.E160,𦎣
27.E338,5.E134,𦍧
27.7F8E,0.7F8E,美
27.7F8C,0.7F8C,羌
27.E339,0.7F8C,羌
27.7F91,0.7F91,羑
27.F123,0.F123,羴
27.7FB6,0.7FB6,羶
27.7FBC,0.7FBC,羼
27.77BF,0.77BF,瞿
27.77CD,0.77CD,矍
27.96D4,0.96D4,雔
27.970D,0.970D,霍
27.96D9,0.96D9,雙
27.96E5,0.96E5,雥
27.E33A,6.E8AF,䨊
27.F122,0.96C6,集
27.96C6,0.96C6,集
27.9CE5,0.9CE5,鳥
27.9CF3,0.9CF3,鳳
27.670B,0.670B,朋
27.9D6C,0.9D6C,鵬
27.9E1E,0.9E1E,鸞
27.9E11,0.9E11,鸑
27.9DDF,0.9DDF,鷟
27.9DEB,0.9DEB,鷫
27.E33B,7.E5CA,𪂸
27.9DDE,0.9DDE,鷞
27.9CE9,0.9CE9,鳩
27.9D8C,0.9D8C,鶌
27.9D7B,0.9D7B,鵻
27.96BC,0.96BC,隼
27.9DBB,0.9DBB,鶻
27.9D43,0.9D43,鵃
27.E33C,7.E6E3,𪈓
27.9D3F,0.9D3F,鴿
27.9D20,0.9D20,鴠
27.9DAA,0.9DAA,鶪
27.E33D,6.E83B,𩀎
27.9DDA,0.9DDA,鷚
27.9E12,0.9E12,鸒
27.9DFD,0.9DFD,鷽
27.E33E,6.E888,雤
27.9DF2,0.9DF2,鷲
27.9D1E,0.9D1E,鴞
27.9D03,0.9D03,鴃
27.E33F,7.E60C,䳳
27.E340,7.E45C,䲱
27.E341,7.E6CB,𪇲
27.E342,7.E61A,𪄭
27.9D29,0.9D29,鴩
27.9DA4,0.9DA4,鶤
27.E343,7.E543,𪁾
27.E344,7.E51B,䳔
27.9DE6,0.9DE6,鷦
27.E345,7.E599,𪃐
27.9DB9,0.9DB9,鶹
27.F09A,0.F09A,𪄿
27.96E3,0.96E3,難
27.E347,0.96E3,難
27.E348,0.96E3,難
27.E349,0.96E3,難
27.9DA8,0.9DA8,鶨
27.E34A,7.E525,𪁑
27.E34B,7.E4A1,𩿢
27.E34C,7.E56C,𪂆
27.9DEF,0.9DEF,鷯
27.9DA0,0.9DA0,鶠
27.E34D,7.E4E3,鴲
27.9D45,0.9D45,鵅
27.9E14,0.9E14,鸔
27.9DB4,0.9DB4,鶴
27.9DFA,0.9DFA,鷺
27.9D60,0.9D60,鵠
27.9D3B,0.9D3B,鴻
27.E34E,7.E4C9,𪀖
27.9D96,0.9D96,鶖
27.9D1B,0.9D1B,鴛
27.9D26,0.9D26,鴦
27.9D7D,0.9D7D,鵽
27.9D71,0.9D71,鵱
27.E34F,7.E473,鴚
27.9D5D,0.9D5D,鵝
27.9D08,0.9D08,鴈
27.9DA9,0.9DA9,鶩
27.9DD6,0.9DD6,鷖
27.E350,7.E5A7,𪃈
27.E351,7.E6D7,𪇷
27.E352,7.E6B5,䴌
27.9DF8,0.9DF8,鷸
27.E353,7.E6EC,𪈄
27.9DFF,0.9DFF,鷿
27.9DC8,0.9DC8,鷈
27.9E15,0.9E15,鸕
27.9DBF,0.9DBF,鶿
27.E354,7.E64C,𪆖
27.9D14,0.9D14,鴔
27.9D56,0.9D56,鵖
27.9D07,0.9D07,鴇
27.E355,7.E49F,䳈
27.E356,7.E63F,𪆫
27.9DD7,0.9DD7,鷗
27.E357,7.E479,䳁
27.9DDB,0.9DDB,鷛
27.9D82,0.9D82,鶂
27.9DCA,0.9DCA,鷊
27.E358,7.E4FB,𪁌
27.E359,7.E4C6,鴺
27.9D5C,0.9D5C,鵜
27.9D17,0.9D17,鴗
27.9DAC,0.9DAC,鶬
27.E35A,6.E854,𩀞
27.9D30,0.9D30,鴰
27.9D41,0.9D41,鵁
27.9D84,0.9D84,鶄
27.9CFD,0.9CFD,鳽
27.E35B,7.E6D0,𪇳
27.E35C,7.E4CC,鴜
27.9DFB,0.9DFB,鷻
27.E35D,7.E4F0,𪀝
27.9DF3,0.9DF3,鷳
27.9DC2,0.9DC2,鷂
27.9DE2,0.9DE2,鷢
27.E35E,7.E47F,鴡
27.E35F,7.E6FA,𪈩
27.9E07,0.9E07,鸇
27.E360,7.E6D5,𪇮
27.9DD0,0.9DD0,鷐
27.9DD9,0.9DD9,鷙
27.9D25,0.9D25,鴥
27.9DAF,0.9DAF,鶯
27.9D1D,0.9D1D,鴝
27.9D52,0.9D52,鵒
27.E361,6.E7EF,𨾳
27.9DE9,0.9DE9,鷩
27.9D54,0.9D54,鵔
27.9E03,0.9E03,鸃
27.E362,7.E63B,𪄱
27.9DA1,0.9DA1,鶡
27.E363,7.E449,䲸
27.9E1A,0.9E1A,鸚
27.E364,7.E4AF,䳇
27.9DEE,0.9DEE,鷮
27.9DD5,0.9DD5,鷕
27.9E13,0.9E13,鸓
27.E365,0.9E13,鸓
27.9DBE,0.9DBE,鶾
27.9D33,0.9D33,鴳
27.9D06,0.9D06,鴆
27.9DC7,0.9DC7,鷇
27.9CF4,0.9CF4,鳴
27.9DB1,0.9DB1,鶱
27.E366,7.E44E,𩿈
27.9DD3,0.9DD3,鷓
27.9D23,0.9D23,鴣
27.9D28,0.9D28,鴨
27.E367,7.E4B3,𪀦
27.70CF,0.70CF,烏
27.E368,0.70CF,烏
27.65BC,0.65BC,於
27.8204,0.8204,舄
27.E369,6.E81D,䧿
27.7109,0.7109,焉
27.F39F,0.F39F,𠦒
27.7562,0.7562,畢
27.7CDE,0.7CDE,糞
27.68C4,0.68C4,棄
27.EE38,0.68C4,棄
27.E36B,0.68C4,棄
27.5193,0.5193,冓
27.518D,0.518D,再
27.F5BD,0.F5BD,爯
27.F4DE,0.F4DE,幺
27.5E7C,0.5E7C,幼
27.9EBC,0.9EBC,麼
27.F120,0.F120,𢆶
27.5E7D,0.5E7D,幽
27.5E7E,0.5E7E,幾
27.F088,0.F088,叀
27.E36C,0.F088,叀
27.F04C,0.F088,叀
27.60E0,0.60E0,惠
27.E36D,0.60E0,惠
27.7590,0.7590,疐
27.7384,0.7384,玄
28.EEEB,0.7384,玄
27.7386,0.7386,玆
27.7388,0.7388,玈
27.4E88,0.4E88,予
27.8212,0.8212,舒
27.5E7B,0.5E7B,幻
27.653E,0.653E,放
27.6556,0.6556,敖
27.F5F4,0.F5F4,敫
27.F3A0,0.F3A0,𠬪
27.7230,0.7230,爰
27.F5B4,0.F5B4,𤔔
27.E36E,0.F5B4,𤔔
27.53D7,0.53D7,受
27.E36F,3.E9CA,𤓿
27.722D,0.722D,爭
27.F642,0.F642,𤔌
27.F11F,0.F11F,寽
27.EE59,0.6562,敢
27.6562,0.6562,敢
27.E371,0.6562,敢
27.F65F,0.F65F,𣦼
27.F4BA,0.F4BA,㕡
27.58D1,0.58D1,壑
27.EBE6,0.EBE6,䝳
27.E372,1.EAF0,𠭗
27.777F,0.777F,睿
27.E373,1.EDEF,壡
27.6B79,0.6B79,歹
27.E374,0.6B79,歹
27.E375,2.F240,𣨙
27.E376,2.F25D,㱪
27.6BB0,0.6BB0,殰
27.6B7E,0.6B7E,歾
27.6B7F,0.6B7F,歿
27.E377,2.F247,𣨛
27.6B8A,0.6B8A,殊
27.6B9F,0.6B9F,殟
27.6BA4,0.6BA4,殤
27.6B82,0.6B82,殂
27.E378,2.F229,𣨐
27.6B9B,0.6B9B,殛
27.6BAA,0.6BAA,殪
27.E379,1.ED48,𣩉
27.E37A,2.F270,㱳
27.6BAF,0.6BAF,殯
27.6B94,0.6B94,殔
27.6BA3,0.6BA3,殣
27.6BA0,0.6BA0,殠
27.E37B,2.F285,殨
27.E37C,2.F1C8,㱙
27.673D,0.673D,朽
27.6B86,0.6B86,殆
27.6B83,0.6B83,殃
27.6B98,0.6B98,殘
27.6B84,0.6B84,殄
27.F400,0.6B84,殄
27.6BB2,0.6BB2,殲
27.6BAB,0.6BAB,殫
27.E37D,2.F28E,殬
27.E37E,2.F2A1,㱻
27.E37F,2.F264,㱯
27.E380,2.F216,𣧻
27.6B96,0.6B96,殖
27.E381,2.F1F5,㱠
27.E382,2.F23D,㱦
27.6B7B,0.6B7B,死
27.E383,0.6B7B,死
27.85A8,0.85A8,薨
27.85A7,0.85A7,薧
27.E384,3.ED52,𣣌
27.F513,0.F513,冎
27.5225,0.5225,別
27.E385,1.F2B5,㗗
27.9AA8,0.9AA8,骨
27.9AD1,0.9AD1,髑
27.9ACF,0.9ACF,髏
27.9AC6,0.9AC6,髆
27.E386,6.F2DE,髃
27.9ABF,0.9ABF,骿
27.9AC0,0.9AC0,髀
27.E387,5.F3FD,䠋
27.9AC1,0.9AC1,髁
27.E388,6.F30D,𩪗
27.9AD6,0.9AD6,髖
27.9AD5,0.9AD5,髕
27.E389,6.F2AB,䯏
27.E38A,6.F311,䯣
27.9AB9,0.9AB9,骹
27.9AAD,0.9AAD,骭
27.9AB8,0.9AB8,骸
27.E38B,6.F315,𩪦
27.E38C,6.F2CA,䯜
27.9AD4,0.9AD4,體
27.9ACD,0.9ACD,髍
27.9ABE,0.9ABE,骾
27.9ABC,0.9ABC,骼
27.9AB4,0.9AB4,骴
27.9AAB,0.9AAB,骫
27.E38D,6.F319,䯤
27.8089,0.8089,肉
27.815C,0.815C,腜
27.E38E,3.EA3F,肧
27.80CE,0.80CE,胎
27.808C,0.808C,肌
27.81DA,0.81DA,臚
27.819A,0.819A,膚
27.80AB,0.80AB,肫
27.E38F,3.EC56,𦠄
27.8123,0.8123,脣
27.E390,6.F0E3,䫃
27.8130,0.8130,脰
27.8093,0.8093,肓
27.814E,0.814E,腎
27.80BA,0.80BA,肺
27.813E,0.813E,脾
27.809D,0.809D,肝
27.81BD,0.81BD,膽
27.80C3,0.80C3,胃
27.812C,0.812C,脬
27.8178,0.8178,腸
27.818F,0.818F,膏
27.80AA,0.80AA,肪
27.81BA,0.81BA,膺
27.808A,0.808A,肊
27.81C6,0.81C6,臆
27.80CC,0.80CC,背
27.8105,0.8105,脅
27.8180,0.8180,膀
27.E391,6.F2F9,髈
27.811F,0.811F,脟
27.808B,0.808B,肋
27.80C2,0.80C2,胂
27.8122,0.8122,脢
27.F0AA,0.80A9,肩
27.80A9,0.80A9,肩
27.80F3,0.80F3,胳
27.80E0,0.80E0,胠
27.81C2,0.81C2,臂
27.81D1,0.81D1,臑
27.8098,0.8098,肘
27.81CD,0.81CD,臍
27.8179,0.8179,腹
27.8174,0.8174,腴
27.813D,0.813D,脽
27.E392,3.EA6A,䏐
27.80EF,0.80EF,胯
27.80A1,0.80A1,股
27.8173,0.8173,腳
27.811B,0.811B,脛
27.80FB,0.80FB,胻
27.8153,0.8153,腓
27.E393,3.EB93,腨
27.80D1,0.80D1,胑
27.80A2,0.80A2,肢
27.80F2,0.80F2,胲
27.8096,0.8096,肖
27.80E4,0.80E4,胤
27.E394,0.80E4,胤
27.80C4,0.80C4,胄
27.F0DE,0.F0DE,䏌
27.81BB,0.81BB,膻
27.E395,3.ECBB,䑋
27.E396,3.EB8B,𦝨
27.81DE,0.81DE,臞
27.812B,0.812B,脫
27.8119,0.8119,脙
27.81E0,0.81E0,臠
27.818C,0.818C,膌
27.E397,4.E774,㾊
27.8100,0.8100,脀
27.80D7,0.80D7,胗
27.75B9,0.75B9,疹
27.8144,0.8144,腄
27.80DD,0.80DD,胝
27.E398,3.EA42,肬
27.E399,7.EA50,𪐤
27.8092,0.8092,肒
27.816B,0.816B,腫
27.80C5,0.80C5,胅
27.E39A,3.EB05,脪
27.E39B,3.EA6C,䏖
27.81D8,0.81D8,臘
27.81A2,0.81A2,膢
27.8101,0.8101,脁
27.80D9,0.80D9,胙
27.968B,0.968B,隋
27.81B3,0.81B3,膳
27.E39C,3.EBBE,腬
27.80B4,0.80B4,肴
27.8146,0.8146,腆
27.E39D,0.8146,腆
27.816F,0.816F,腯
27.E39E,3.EA99,䏟
27.80E1,0.80E1,胡
27.80D8,0.80D8,胘
27.818D,0.818D,膍
27.E39F,3.EA44,肶
27.80F5,0.80F5,胵
27.8198,0.8198,膘
27.E3A0,3.EBA0,𦝭
27.819F,0.819F,膟
27.81AB,0.81AB,膫
27.818B,0.818B,膋
27.812F,0.812F,脯
27.8129,0.8129,脩
27.E3A1,3.EBDB,膎
27.E3A2,3.EB2E,脼
27.818A,0.818A,膊
27.8118,0.8118,脘
27.80CA,0.80CA,胊
27.81B4,0.81B4,膴
27.80E5,0.80E5,胥
27.8152,0.8152,腒
27.E3A3,3.EA1E,肍
27.E3A4,3.EC78,䐹
27.E3A5,3.EB86,腝
27.81E1,0.81E1,臡
27.E3A6,3.EAC2,脠
27.E3A7,3.EB5B,䏽
27.80F9,0.80F9,胹
27.E3A8,3.EBCB,䐣
27.80DC,0.80DC,胜
27.81CA,0.81CA,臊
27.81AE,0.81AE,膮
27.8165,0.8165,腥
27.8102,0.8102,脂
27.E3A9,3.EBCA,䐝
27.81A9,0.81A9,膩
27.819C,0.819C,膜
27.E3AA,3.EBF1,䐞
27.E3AB,3.EBEE,𦞦
27.81B9,0.81B9,膹
27.81C7,0.81C7,臇
27.E3AC,3.F047,㷷
27.80FE,0.80FE,胾
27.E3AD,3.EB7D,䐑
27.81BE,0.81BE,膾
27.814C,0.814C,腌
27.E3AE,3.EACD,脃
27.81AC,0.81AC,膬
27.6563,0.6563,散
27.819E,0.819E,膞
27.814F,0.814F,腏
27.E3AF,1.E418,𦚙
27.80CF,0.80CF,胏
27.E3B0,3.EB56,䐄
27.F063,0.F063,肰
27.F18E,0.F18E,𦝸
27.E3B1,3.EB0D,𦛡
27.E3B2,3.EBC3,䐜
27.F0CB,0.F0CB,䏙
27.81A0,0.81A0,膠
27.F4B5,0.F4B5,𦝠
27.E3B3,3.EA7F,䏣
27.8099,0.8099,肙
27.8150,0.8150,腐
27.E3B4,3.EA20,肎
27.E3B5,3.EA20,肎
27.80A5,0.80A5,肥
27.E3B6,3.EB68,䏿
27.8127,0.8127,脧
27.8154,0.8154,腔
27.E3B7,3.EAC9,𦚧
27.E3B8,3.EB1C,䏰
27.7B4B,0.7B4B,筋
27.E3B9,4.F2D5,䇟
27.8171,0.8171,腱
27.E3BA,4.F335,𥭖
27.E3BB,3.EA30,肑
27.5200,0.5200,刀
27.E3BC,1.E881,㓡
27.E3BD,1.E8F1,㓵
27.E3BE,1.F1FE,㗉
27.524A,0.524A,削
27.E3BF,1.E863,𠛎
27.5274,0.5274,剴
27.525E,0.525E,剞
27.E3C0,1.E8E1,𠜾
27.5229,0.5229,利
27.F67A,0.5229,利
27.5261,0.5261,剡
27.521D,0.521D,初
27.526A,0.526A,剪
27.5247,0.5247,則
27.E3C1,0.5247,則
27.E3C2,0.5247,則
27.EE0B,0.5247,則
27.525B,0.525B,剛
27.E3C4,1.E336,𠇙
27.526C,0.526C,剬
27.528A,0.528A,劊
27.5207,0.5207,切
27.520C,0.520C,刌
27.E3C5,1.E9A4,㔎
27.5209,0.5209,刉
27.528C,0.528C,劌
27.523B,0.523B,刻
27.526F,0.526F,副
27.E3C6,0.526F,副
27.5256,0.5256,剖
27.8FA8,0.8FA8,辨
27.5224,0.5224,判
27.5233,0.5233,刳
27.5217,0.5217,列
27.520A,0.520A,刊
27.525F,0.525F,剟
27.522A,0.522A,刪
27.5288,0.5288,劈
27.525D,0.525D,剝
27.E3C7,1.E81F,𠚬
27.5272,0.5272,割
27.527A,0.527A,剺
27.5283,0.5283,劃
27.E3C8,1.E8AB,剈
27.5280,0.5280,劀
27.5291,0.5291,劑
27.5237,0.5237,刷
27.522E,0.522E,刮
27.527D,0.527D,剽
27.5232,0.5232,刲
27.5249,0.5249,剉
27.528B,0.528B,劋
27.5216,0.5216,刖
27.521C,0.521C,刜
27.E3C9,1.E92F,㓼
27.5296,0.5296,劖
27.5213,0.5213,刓
27.91D7,0.91D7,釗
27.5236,0.5236,制
27.E3CA,0.5236,制
27.E3CB,1.E85C,㓠
27.7F70,0.7F70,罰
27.5235,0.5235,刵
27.E3CC,1.E913,㓷
27.5293,0.5293,劓
27.5211,0.5211,刑
27.5244,0.5244,剄
27.E3CD,1.E95A,𠟃
27.F4B9,0.F4B9,魝
27.5238,0.5238,券
27.523A,0.523A,刺
27.5254,0.5254,剔
27.520E,0.520E,刎
27.525C,0.525C,剜
27.5287,0.5287,劇
27.524E,0.524E,剎
27.5203,0.5203,刃
27.F11E,0.F11E,刅
27.5275,0.5275,創
27.E3CE,0.528D,劍
27.528D,0.528D,劍
27.F5FE,0.F5FE,㓞
27.E3CF,1.E8BB,𠜵
27.6814,0.6814,栔
27.F48B,0.F48B,丯
27.E3D0,1.F160,𠲱
27.8012,0.8012,耒
27.8015,0.8015,耕
27.8026,0.8026,耦
27.8024,0.8024,耤
27.E3D1,4.EBEC,𦓯
27.E3D2,4.EC14,𦔐
27.E3D3,4.EBF6,𦓷
27.8021,0.8021,耡
27.89D2,0.89D2,角
27.E3D4,6.E261,䚭
27.89FB,0.89FB,觻
27.E3D5,6.E21E,䚡
27.89E0,0.89E0,觠
27.89EC,0.89EC,觬
27.89E2,0.89E2,觢
27.E3D6,6.E236,䚦
27.89ED,0.89ED,觭
27.89D3,0.89D3,觓
27.E3D7,6.E21D,𧤖
27.E3D8,6.E1DA,𧢼
27.E3D9,6.E24A,𧤼
27.89F8,0.89F8,觸
27.89F2,0.89F2,觲
27.E3DA,6.E1D4,䚗
27.89F7,0.89F7,觷
27.8861,0.8861,衡
27.E3DB,0.8861,衡
27.E3DC,6.E220,𧤗
27.89F0,0.89F0,觰
27.89E4,0.89E4,觤
27.89DF,0.89DF,觟
27.89E1,0.89E1,觡
27.89DC,0.89DC,觜
27.89E3,0.89E3,解
27.89FF,0.89FF,觿
27.E3DD,6.E23D,觵
27.89E5,0.89E5,觥
27.89F6,0.89F6,觶
27.E3DE,6.E1F4,𧣨
27.E3DF,6.E1D5,觗
27.89DB,0.89DB,觛
27.89F4,0.89F4,觴
27.E3E0,8.E1EA,
27.89DA,0.89DA,觚
27.E3E1,6.E1E9,䚙
27.E3E2,6.E257,䚫
27.89FC,0.89FC,觼
27.940D,0.940D,鐍
27.E3E3,6.E1E8,𧣚
27.E3E4,6.E252,䚨
27.E3E5,6.E223,𧤕
27.89F3,0.89F3,觳
27.E3E6,6.E25F,𧥑
27.7AF9,0.7AF9,竹
27.7BAD,0.7BAD,箭
27.7B98,0.7B98,箘
27.7C2C,0.7C2C,簬
27.E3E7,4.F4D1,簵
27.7B71,0.7B71,筱
27.7C1C,0.7C1C,簜
27.E3E8,4.F4E6,䉠
27.E3E9,4.F3FC,𥰙
27.7B4D,0.7B4D,筍
27.E3EA,4.F3E0,䈚
27.E3EB,4.F375,箁
27.7BAC,0.7BAC,箬
27.7BC0,0.7BC0,節
27.7B61,0.7B61,筡
27.E3EC,4.F532,𥵨
27.7B22,0.7B22,笢
27.7B28,0.7B28,笨
27.E3ED,4.F40C,䈵
27.7BF8,0.7BF8,篸
27.7BC6,0.7BC6,篆
27.7C40,0.7C40,籀
27.7BC7,0.7BC7,篇
27.7C4D,0.7C4D,籍
27.7BC1,0.7BC1,篁
27.E3EE,4.F472,䉃
27.E3EF,4.F395,䈎
27.7C65,0.7C65,籥
27.E3F0,4.F535,䉧
27.7C21,0.7C21,簡
27.7B10,0.7B10,笐
27.7BF0,0.7BF0,篰
27.7B49,0.7B49,等
27.7B35,0.7B35,笵
27.7B8B,0.7B8B,箋
27.7B26,0.7B26,符
27.7B6E,0.7B6E,筮
27.7B04,0.7B04,笄
27.E3F1,7.EFDC,䇫
27.E3F2,4.F501,籆
27.E3F3,6.E24F,𧤽
27.7B73,0.7B73,筳
27.7B66,0.7B66,筦
27.E3F4,4.F32F,筟
27.7B2E,0.7B2E,笮
27.7C3E,0.7C3E,簾
27.7C00,0.7C00,簀
27.7B2B,0.7B2B,笫
27.7B75,0.7B75,筵
27.7C1F,0.7C1F,簟
27.7C67,0.7C67,籧
27.7BE8,0.7BE8,篨
27.E3F5,4.F587,籭
27.7C53,0.7C53,籓
27.E3F6,4.F4E5,䉛
27.7C54,0.7C54,籔
27.7B85,0.7B85,箅
27.E3F7,4.F4A3,𥳓
27.E3F8,4.F3E7,䈰
27.7B65,0.7B65,筥
27.7B25,0.7B25,笥
27.7C1E,0.7C1E,簞
27.7C01,0.7C01,簁
27.7B84,0.7B84,箄
27.7BFF,0.7BFF,篿
27.7BB8,0.7BB8,箸
27.7C0D,0.7C0D,簍
27.7B64,0.7B64,筤
27.7C43,0.7C43,籃
27.E3F9,2.E365,𢉧
27.7BDD,0.7BDD,篝
27.E3FA,4.F303,笿
27.E3FB,4.F302,䇨
27.E3FC,4.F56F,籢
27.7C6B,0.7C6B,籫
27.7C6F,0.7C6F,籯
27.E3FD,4.F324,䈀
27.7C0B,0.7C0B,簋
27.E3FE,1.E24C,㔳
27.532D,0.532D,匭
27.6739,0.6739,朹
27.7C20,0.7C20,簠
27.E3FF,1.E216,𠤱
27.7C69,0.7C69,籩
27.E400,1.E25B,𠥣
27.E401,4.F29E,𥫱
27.E402,4.F3AE,篅
27.7C0F,0.7C0F,簏
27.E403,4.F385,箓
27.E404,4.F3A3,𥯕
27.7B69,0.7B69,筩
27.7BAF,0.7BAF,箯
27.7B2F,0.7B2F,笯
27.7AFF,0.7AFF,竿
27.E405,0.7C57,籗
27.7C57,0.7C57,籗
27.7B87,0.7B87,箇
27.7B4A,0.7B4A,筊
27.7B70,0.7B70,筰
27.E406,4.F37A,𥮒
27.7B91,0.7B91,箑
27.E407,4.F376,䈉
27.7C60,0.7C60,籠
27.E408,4.F573,䉴
27.F0FA,0.F0FA,䇘
27.4E92,0.4E92,互
27.7C1D,0.7C1D,簝
27.E409,4.F4D8,𥴧
27.E40A,4.F454,篼
27.7C5A,0.7C5A,籚
27.7B9D,0.7B9D,箝
27.E40B,4.F504,籋
27.7C26,0.7C26,簦
27.7B20,0.7B20,笠
27.7BB1,0.7BB1,箱
27.7BDA,0.7BDA,篚
27.7B2D,0.7B2D,笭
27.E40C,4.F41B,𥰨
27.7B56,0.7B56,策
27.7BA0,0.7BA0,箠
27.E40D,4.F2FF,𥬲
27.E40E,4.F2A3,笍
27.7C63,0.7C63,籣
27.7B99,0.7B99,箙
27.E40F,4.F2FA,䇬
27.7B18,0.7B18,笘
27.7B2A,0.7B2A,笪
27.7B1E,0.7B1E,笞
27.7C64,0.7C64,籤
27.E410,4.F4F8,𥴫
27.7BB4,0.7BB4,箴
27.7BBE,0.7BBE,箾
27.7AFD,0.7AFD,竽
27.7B19,0.7B19,笙
27.7C27,0.7C27,簧
27.E411,4.F3A1,䈕
27.7C2B,0.7C2B,簫
27.7B52,0.7B52,筒
27.7C5F,0.7C5F,籟
27.7BB9,0.7BB9,箹
27.7BA1,0.7BA1,管
27.742F,0.742F,琯
27.7BCE,0.7BCE,篎
27.7B1B,0.7B1B,笛
27.7B51,0.7B51,筑
27.7B8F,0.7B8F,箏
27.7B9B,0.7B9B,箛
27.E412,4.F3B1,篍
27.7C4C,0.7C4C,籌
27.E413,4.F4F5,簺
27.7C19,0.7C19,簙
27.7BF3,0.7BF3,篳
27.E414,4.F4EA,𥴨
27.E415,4.F591,䉷
27.7BFD,0.7BFD,篽
27.E416,7.E723,𩵎
27.7B6D,0.7B6D,筭
27.7B97,0.7B97,算
27.7B11,0.7B11,笑
27.7C03,0.7C03,簃
27.7B60,0.7B60,筠
27.7B0F,0.7B0F,笏
