字體編號,楷書字體編號,楷書字型
27.7464,0.7464,瑤
27.73E0,0.73E0,珠
27.7393,0.7393,玓
27.74C5,0.74C5,瓅
27.73AD,0.73AD,玭
27.8819,0.8819,蠙
27.E040,2.EABD,珕
27.73E7,0.73E7,珧
27.739F,0.739F,玟
27.7470,0.7470,瑰
27.74A3,0.74A3,璣
27.7405,0.7405,琅
27.7395,0.7395,玕
27.E041,2.EACF,𤥚
27.73CA,0.73CA,珊
27.745A,0.745A,瑚
27.73CB,0.73CB,珋
27.7400,0.7400,琀
27.E042,2.EBA2,𤪎
27.7497,0.7497,璗
27.E043,2.EBBF,𤫊
27.9748,0.9748,靈
27.73C8,0.73C8,珈
27.74A9,0.74A9,璩
27.7416,0.7416,琖
27.741B,0.741B,琛
27.74AB,0.74AB,璫
27.7432,0.7432,琲
27.73C2,0.73C2,珂
27.E044,2.EA6D,玘
27.73DD,0.73DD,珝
27.7480,0.7480,璀
27.74A8,0.74A8,璨
27.7421,0.7421,琡
27.7444,0.7444,瑄
27.73D9,0.73D9,珙
27.73A8,0.73A8,玨
27.E045,3.EE00,瑴
27.73ED,0.73ED,班
27.E046,2.EB4B,𨌥
27.6C14,0.6C14,气
27.6C1B,0.6C1B,氛
27.96F0,0.96F0,雰
27.58EB,0.58EB,士
27.E047,1.ECD8,壻
27.5A7F,0.5A7F,婿
27.58EF,0.58EF,壯
27.58FF,0.58FF,壿
27.F510,0.F510,丨
27.4E2D,0.4E2D,中
27.F35F,0.4E2D,中
27.F2E7,0.4E2D,中
27.E048,3.EE64,𣃘
27.5C6E,0.5C6E,屮
27.5C6F,0.5C6F,屯
27.6BCF,0.6BCF,每
27.6BD2,0.6BD2,毒
27.E049,5.E5E4,𦸕
27.F0EE,0.82AC,芬
27.82AC,0.82AC,芬
27.F041,0.F041,𡴆
27.E04A,0.F041,𡴆
27.718F,0.718F,熏
27.8278,0.8278,艸
27.838A,0.838A,莊
27.E04B,3.F518,𤖄
27.84CF,0.84CF,蓏
27.829D,0.829D,芝
27.8410,0.8410,萐
27.8386,0.8386,莆
27.864B,0.864B,虋
27.8345,0.8345,荅
27.8401,0.8401,萁
27.85FF,0.85FF,藿
27.83A5,0.83A5,莥
27.E04D,5.E540,蓈
27.7A02,0.7A02,稂
27.83A0,0.83A0,莠
27.8409,0.8409,萉
27.9EC2,0.9EC2,黂
27.8293,0.8293,芓
27.E04E,5.E674,䔬
27.8607,0.8607,蘇
27.834F,0.834F,荏
27.E04F,5.E363,䒨
27.E050,5.E580,䔇
27.8475,0.8475,葵
27.E051,5.E7F3,䕬
27.84FC,0.84FC,蓼
27.E052,5.E559,䔃
27.E053,5.E6E1,𦼫
27.8587,0.8587,薇
27.E054,0.8587,薇
27.84F6,0.84F6,蓶
27.E055,5.E496,菦
27.E056,5.E88C,䖆
27.83A7,0.83A7,莧
27.828B,0.828B,芋
27.8392,0.8392,莒
27.8627,0.8627,蘧
27.83CA,0.83CA,菊
27.8477,0.8477,葷
27.8618,0.8618,蘘
27.83C1,0.83C1,菁
27.8606,0.8606,蘆
27.83D4,0.83D4,菔
27.82F9,0.82F9,苹
27.831E,0.831E,茞
27.E057,5.E76B,薲
27.85CD,0.85CD,藍
27.E058,5.E7EE,藼
27.E059,5.E710,蕿
27.8431,0.8431,萱
27.E05A,5.E5B7,𦵡
27.828E,0.828E,芎
27.85ED,0.85ED,藭
27.862D,0.862D,蘭
27.844C,0.844C,葌
27.8470,0.8470,葰
27.8284,0.8284,芄
27.8648,0.8648,虈
27.863A,0.863A,蘺
27.E05B,5.E3E6,茝
27.862A,0.862A,蘪
27.85B0,0.85B0,薰
27.E05C,5.E6A4,𦺇
27.8439,0.8439,萹
27.833F,0.833F,茿
27.E05D,5.E6D3,𦼰
27.829E,0.829E,芞
27.82FA,0.82FA,苺
27.8316,0.8316,茖
27.E05E,5.E350,苷
27.82A7,0.82A7,芧
27.85CE,0.85CE,藎
27.E05F,5.F834,蒁
27.8375,0.8375,荵
27.8407,0.8407,萇
27.858A,0.858A,薊
27.E060,5.E400,荲
27.85CB,0.85CB,藋
27.82A8,0.82A8,芨
27.8465,0.8465,葥
27.E061,5.E6BF,𦺒
27.84E9,0.84E9,蓩
27.E062,5.E716,薓
27.E063,5.E889,䖂
27.E064,5.E4B4,䓞
27.834D,0.834D,荍
27.E065,5.E4FC,𦳈
27.842D,0.842D,萭
27.8351,0.8351,荑
27.859B,0.859B,薛
27.82E6,0.82E6,苦
27.83E9,0.83E9,菩
27.E066,5.E69C,𦺳
27.8305,0.8305,茅
27.83C5,0.83C5,菅
27.8604,0.8604,蘄
27.839E,0.839E,莞
27.85FA,0.85FA,藺
27.84A2,0.84A2,蒢
27.84B2,0.84B2,蒲
27.84BB,0.84BB,蒻
27.E067,5.E630,𦸂
27.84F7,0.84F7,蓷
27.8411,0.8411,萑
27.8325,0.8325,茥
27.8399,0.8399,莙
27.E068,5.E672,𦺊
27.849A,0.849A,蒚
27.82E1,0.82E1,苡
27.8541,0.8541,蕁
27.E069,5.E7D8,𧂇
27.E06A,5.E732,𦿓
27.84F2,0.84F2,蓲
27.E06B,5.E47A,䓢
27.E06C,5.E72F,𦾮
27.85F7,0.85F7,藷
27.8517,0.8517,蔗
27.E06D,5.E803,𧃱
27.E06E,5.E78D,𧀩
27.E06F,5.E331,𦬕
27.842F,0.842F,萯
27.82BA,0.82BA,芺
27.E070,5.E4C0,𦱁
27.E071,5.E872,𧅲
27.83A9,0.83A9,莩
27.8529,0.8529,蔩
27.8353,0.8353,荓
27.8555,0.8555,蕕
27.834C,0.834C,荌
27.85C4,0.85C4,藄
27.8383,0.8383,莃
27.E072,5.E72E,𦿏
27.8567,0.8567,蕧
27.82D3,0.82D3,苓
