小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary),小篆部件,楷書部件
1318,['60347'],27.E1B5,,b'\xee\x86\xb5',,又爪門
1319,['60257'],27.E1B6,,b'\xee\x86\xb6',,儿己門
1320,['60345'],27.E1B7,,b'\xee\x86\xb7',,
1321,['5141'],27.9F61,齡,b'\xe9\xbd\xa1',一入止Ψ,一一人齒
1322,['153'],27.7259,牙,b'\xe7\x89\x99',牙,牙
1322,['153'],27.E1B8,,b'\xee\x86\xb8',,
1323,['30956'],27.E1B9,,b'\xee\x86\xb9',犬戶戶目,犬网門
1324,['30957'],27.E1BA,,b'\xee\x86\xba',,
1324,['5359'],27.9F72,齲,b'\xe9\xbd\xb2',九止Ψ﹤∩,禹齒
1325,['703'],27.8DB3,足,b'\xe8\xb6\xb3',囗止,足
1326,['49861'],27.E1BB,,b'\xee\x86\xbb',卜又戶戶目,网門
1327,['3285'],27.8DDF,跟,b'\xe8\xb7\x9f',人囗止目,艮足
1327,['31191'],27.E1BC,,b'\xee\x86\xbc',,口口口門
1328,['4067'],27.8E1D,踝,b'\xe8\xb8\x9d',囗屮止｛︷,足果
1329,['8374'],27.8DD6,跖,b'\xe8\xb7\x96',厂囗止〞,石足
1330,['10267'],27.8E26,踦,b'\xe8\xb8\xa6',大口囗止,一大口足
1331,['3290'],27.8DEA,跪,b'\xe8\xb7\xaa',厂人囗止,厂人足
1332,['9668'],27.8DFD,跽,b'\xe8\xb7\xbd',囗己止心,己心足
1333,['10268'],27.8E27,踧,b'\xe8\xb8\xa7',又囗止,一卜又小足
1334,['12955'],27.8EA3,躣,b'\xe8\xba\xa3',囗止目目隹,网网足隹
1335,['10264'],27.8E16,踖,b'\xe8\xb8\x96',囗止昔,日足
1336,['10838'],27.8E3D,踽,b'\xe8\xb8\xbd',九囗止﹤∩,足禹
1337,['11684'],27.8E61,蹡,b'\xe8\xb9\xa1',一又囗止肉酉爿,寸月爿足
1338,['12658'],27.8E96,躖,b'\xe8\xba\x96',囗止斤,一一足
1339,['49551'],27.E1BD,,b'\xee\x86\xbd',一一入口戶戶,門音
1340,['10840'],27.8E30,踰,b'\xe8\xb8\xb0',一入囗止舟,一人刀月足
1341,['49623'],27.E1BE,,b'\xee\x86\xbe',囗戶戶,門韋
1342,['12016'],27.8E7B,蹻,b'\xe8\xb9\xbb',大囗囗止↘☆,一大口口足
1343,['9674'],27.8DFE,跾,b'\xe8\xb7\xbe',卜人又囗水止,人足
1344,['11303'],27.8E4C,蹌,b'\xe8\xb9\x8c',一入囗止↗,一人口足
1345,['9669'],27.8E0A,踊,b'\xe8\xb8\x8a',卜口囗止,一用足
1346,['5187'],27.8E8B,躋,b'\xe8\xba\x8b',囗止齊,足齊
1347,['5186'],27.8E8D,躍,b'\xe8\xba\x8d',囗止羽隹,羽足隹
1348,['9061'],27.8DE7,跧,b'\xe8\xb7\xa7',入囗止玉,人玉足
1349,['4994'],27.8E74,蹴,b'\xe8\xb9\xb4',乙又囗囗止↘╴,一尢小口足
1350,['5367'],27.8EA1,躡,b'\xe8\xba\xa1',囗止耳耳耳,耳耳耳足
1351,['3286'],27.8DE8,跨,b'\xe8\xb7\xa8',一大囗止,一大足
1352,['4663'],27.8E4B,蹋,b'\xe8\xb9\x8b',一一一囗止羽〈,二羽足
1353,['9676'],27.8E04,踄,b'\xe8\xb8\x84',囗止止止,止止足
1354,['4664'],27.8E48,蹈,b'\xe8\xb9\x88',囗止爪臼,爪臼足
1355,['12654'],27.8E94,躔,b'\xe8\xba\x94',八土土囗止田,儿土里足
1356,['4066'],27.8E10,踐,b'\xe8\xb8\x90',囗止﹍﹍﹌﹌,戈戈足
1357,['4372'],27.8E35,踵,b'\xe8\xb8\xb5',一一十人囗囗屮止｛,足重
1358,['10269'],27.8E14,踔,b'\xe8\xb8\x94',一人囗囗止甲,十卜日足
1359,['11682'],27.8E5B,蹛,b'\xe8\xb9\x9b',囗止「」,巾卅足
1360,['11686'],27.8E69,蹩,b'\xe8\xb9\xa9',卜又囗止「﹂,足
1361,['10836'],27.8E36,踶,b'\xe8\xb8\xb6',一一囗囗止止,一止日足
1362,['12659'],27.8E97,躗,b'\xe8\xba\x97',囗囗彳彳止之,行足韋
1363,['49886'],27.E1BF,,b'\xee\x86\xbf',土戶戶西,土襾門
1364,['49598'],27.E1C0,,b'\xee\x87\x80',口水戶戶﹎﹋,一十口水門
1365,['11675'],27.8E62,蹢,b'\xe8\xb9\xa2',蹢 = 口囗彳止止朿,十儿口足
1366,['5116'],27.8E85,躅,b'\xe8\xba\x85',囗止虫﹡,虫网足
1367,['10260'],27.8E24,踤,b'\xe8\xb8\xa4',囗止卒,十人人足
1368,['4991'],27.8E76,蹶,b'\xe8\xb9\xb6',厂囗止,厂屮欠艸足
1368,['50068'],27.E1C1,,b'\xee\x87\x81',入止止戶戶↙,一大門
1369,['3288'],27.8DF3,跳,b'\xe8\xb7\xb3',囗止兆,儿足
1370,['49710'],27.E1C2,,b'\xee\x87\x82',八囗屮戶戶｛,儿束門
1371,['49918'],27.E1C3,,b'\xee\x87\x83', = 戶戶,日老門
1372,['49647'],27.E1C4,,b'\xee\x87\x84',,
1373,['11676'],27.8E60,蹠,b'\xe8\xb9\xa0',囗止,廿火足
1374,['49845'],27.E1C5,,b'\xee\x87\x85',,
1375,['49865'],27.E1C6,,b'\xee\x87\x86',人八戶戶目,十儿門
1376,['7719'],27.8DBF,趿,b'\xe8\xb6\xbf',人又囗止,及足
1377,['49714'],27.E1C7,,b'\xee\x87\x87',屮戶戶自｛,木自門
1378,['5258'],27.8E93,躓,b'\xe8\xba\x93',囗止斤斤貝,斤斤貝足
1379,['9062'],27.8DF2,跲,b'\xe8\xb7\xb2',一入口囗止,一人口足
1380,['8373'],27.8DC7,跇,b'\xe8\xb7\x87',囗止世,世足
1381,['11299'],27.8E4E,蹎,b'\xe8\xb9\x8e',人八囗止目,十儿足
1382,['2854'],27.8DCB,跋,b'\xe8\xb7\x8b',囗犬止§,犮足
1383,['11302'],27.8E50,蹐,b'\xe8\xb9\x90',囗止肉,人月足
1384,['2857'],27.8DCC,跌,b'\xe8\xb7\x8c',乙囗止手,一夫足
1385,['10837'],27.8E3C,踼,b'\xe8\xb8\xbc',一一囗囗止勿,一一一日足
1386,['4989'],27.8E72,蹲,b'\xe8\xb9\xb2',又囗止酉∵,儿寸酉足
1387,['4073'],27.8E1E,踞,b'\xe8\xb8\x9e',十口囗尸止,十口尸足
1388,['49842'],27.E1C8,,b'\xee\x87\x88',一一一戶戶羽〈,二羽門
1389,['13011'],27.8EA9,躩,b'\xe8\xba\xa9',又囗止目目隹,又网网足隹
1390,['10258'],27.8E23,踣,b'\xe8\xb8\xa3',口囗不止,口立足
1391,['2858'],27.8DDB,跛,b'\xe8\xb7\x9b',又囗止為,皮足
1392,['11304'],27.8E47,蹇,b'\xe8\xb9\x87',人囗屮屮屮屮止,儿足
1393,['10839'],27.8E41,蹁,b'\xe8\xb9\x81',囗止戶冊,戶冊足
1394,['49733'],27.E1C9,,b'\xee\x87\x89',卜人又囗彳戶戶『⊙,山豆門
1395,['10270'],27.8E12,踒,b'\xe8\xb8\x92',囗屮女止｛,女禾足
1396,['9059'],27.8DE3,跣,b'\xe8\xb7\xa3',儿囗止之,儿牛足
1397,['49639'],27.E1CA,,b'\xee\x87\x8a',一大戶戶皿,土皿門
1398,['49765'],27.E1CB,,b'\xee\x87\x8b',戶戶,屮欠艸門
1399,['2853'],27.8DDD,距,b'\xe8\xb7\x9d',工囗止∴,匚工足
1400,['50071'],27.E1CC,,b'\xee\x87\x8c',戶戶馬,門馬
1400,['55024'],27.E1CD,,b'\xee\x87\x8d',,
1401,['49829'],27.E1CE,,b'\xee\x87\x8e',,
1402,['49755'],27.E1CF,,b'\xee\x87\x8f',,
1403,['49597'],27.E1D0,,b'\xee\x87\x90',一儿戶戶目,夫見門
1403,['49558'],27.E1D1,,b'\xee\x87\x91',八土口戶戶,土小口門
1404,['49605'],27.E1D2,,b'\xee\x87\x92',戶戶糸糸,艸門
1405,['7718'],27.8DB9,趹,b'\xe8\xb6\xb9',又囗水止﹕,夬足
1406,['7716'],27.8DBC,趼,b'\xe8\xb6\xbc',囗止幵,一廾足
1407,['3287'],27.8DEF,路,b'\xe8\xb7\xaf',口囗止,口足
1408,['12012'],27.8E78,蹸,b'\xe8\xb9\xb8',囗止火火,舛米足
1409,['7717'],27.8DC2,跂,b'\xe8\xb7\x82',又囗止竹,支足
1410,['49936'],27.8E9A,躚,b'\xe8\xba\x9a',囗止￠,大襾足
1411,['12011'],27.8E6D,蹭,b'\xe8\xb9\xad',八口囗止♀,儿小囗日足
1412,['4992'],27.8E6C,蹬,b'\xe8\xb9\xac',囗囗止止止⊙,豆足
1413,['4662'],27.8E49,蹉,b'\xe8\xb9\x89',工囗止,一工羊足
1414,['2852'],27.8DCE,跎,b'\xe8\xb7\x8e',囗止虫＜,匕足
1415,['4830'],27.8E59,蹙,b'\xe8\xb9\x99',囗止﹍﹌,一一卜小戈足
1416,['10833'],27.8E38,踸,b'\xe8\xb8\xb8',一八口囗止﹟,匚儿甘足
1417,['272'],27.758B,疋,b'\xe7\x96\x8b',止︰,疋
1418,['41238'],27.E1D3,,b'\xee\x87\x93',,
1419,['41233'],27.E1D4,,b'\xee\x87\x94',戶戶敢,一耳門
1420,['1162'],27.54C1,品,b'\xe5\x93\x81',口口口,口口口
1421,['7812'],27.55A6,喦,b'\xe5\x96\xa6',喦,口口口山
1422,['8500'],27.55BF,喿,b'\xe5\x96\xbf',口口口屮｛,口口口木
1423,['11452'],27.9FA0,龠,b'\xe9\xbe\xa0',一入口口口冊,龠
1424,['60452'],27.E1D5,,b'\xee\x87\x95',,一人口羽門
1425,['60459'],27.E1D6,,b'\xee\x87\x96',戶戶貝,一中貝門
1425,['10678'],27.7BEA,篪,b'\xe7\xaf\xaa',虍竹←,厂儿虍竹
1426,['12733'],27.9FA2,龢,b'\xe9\xbe\xa2',一入口口口屮冊｛,禾龠
1427,['13001'],27.9FA4,龤,b'\xe9\xbe\xa4',龤 = 一人人入口口口冊,比白龠
1428,['179'],27.518A,冊,b'\xe5\x86\x8a',冊,冊
1428,['179'],27.E1D7,,b'\xee\x87\x97',口口戶戶,口口門
1429,['2953'],27.55E3,嗣,b'\xe5\x97\xa3',一口口冊‘,一厂口口冊
1429,['2953'],27.E1D8,,b'\xee\x87\x98', = 一一入口戶戶,口尸辛門
1430,['1245'],27.6241,扁,b'\xe6\x89\x81',戶冊,戶冊
1431,['24437'],27.F0FF,,b'\xef\x83\xbf',口口口口,口口口口
1432,['11459'],27.569A,嚚,b'\xe5\x9a\x9a',口口口口臣,口口口口臣
1432,['11459'],27.E1D9,,b'\xee\x87\x99',,小口田門
1433,['5146'],27.56C2,囂,b'\xe5\x9b\x82',一儿口口口口自,口口口口頁
1433,['5146'],27.E1DA,,b'\xee\x87\x9a',屮戶戶目衣–,一一人口网門
1434,['9186'],27.5602,嘂,b'\xe5\x98\x82',口口口口,口口口口
1435,['24993'],27.E1DB,,b'\xee\x87\x9b',大彳止戶戶﹗,土羊門
1436,['4170'],27.5668,器,b'\xe5\x99\xa8',口口口口犬,口口口口犬
1437,['439'],27.820C,舌,b'\xe8\x88\x8c',一入口,舌
1438,['43148'],27.E1DC,,b'\xee\x87\x9c',,
1439,['43146'],27.EC52,,b'\xee\xb1\x92',,一又巾
1439,['43120'],27.E1DD,,b'\xee\x87\x9d',,
1440,['59'],27.5E72,干,b'\xe5\xb9\xb2',一入,干
1441,['22654'],27.F50F,,b'\xef\x94\x8f',一一入,儿干
1442,['27887'],27.F66F,,b'\xef\x99\xaf',一入屮,屮艸
1443,['51123'],27.F396,,b'\xef\x8e\x96',口…,人人口
1443,['24452'],27.E1DE,,b'\xee\x87\x9e',,
1443,['11189'],27.81C4,臄,b'\xe8\x87\x84',虍肉豕,月虍豕
1444,['19835'],27.F47D,,b'\xef\x91\xbd',口‥…,
1444,['19835'],27.F16A,,b'\xef\x85\xaa',,人
1445,['211'],27.53EA,只,b'\xe5\x8f\xaa',口﹐,儿口
1446,['24434'],27.E1DF,,b'\xee\x87\x9f',,
1447,['23989'],27.F397,,b'\xef\x8e\x97',入口囗,口內
1448,['8168'],27.77DE,矞,b'\xe7\x9f\x9e',入口囗矛,儿口矛
1449,['1998'],27.5546,商,b'\xe5\x95\x86',商 = 一一十入入口口囗,儿儿口
1449,['1998'],27.E1E0,,b'\xee\x87\xa0',,
1449,['1998'],27.E1E1,,b'\xee\x87\xa1',,
1449,['1998'],27.E1E2,,b'\xee\x87\xa2',,
1450,['215'],27.53E5,句,b'\xe5\x8f\xa5',口,口
1451,['923'],27.62D8,拘,b'\xe6\x8b\x98',口手,口手
1452,['7559'],27.7B31,笱,b'\xe7\xac\xb1',口竹,口竹
1453,['3329'],27.9264,鉤,b'\xe9\x89\xa4',一入土口≠,口金
1454,['20003'],27.F51B,,b'\xef\x94\x9b',,
1455,['45878'],27.E1E3,,b'\xee\x87\xa3',,
1456,['1045'],27.7CFE,糾,b'\xe7\xb3\xbe',糸,糸
1457,['200'],27.53E4,古,b'\xe5\x8f\xa4',十口,十口
1457,['21782'],27.E1E4,,b'\xee\x87\xa4',,
1458,['9182'],27.560F,嘏,b'\xe5\x98\x8f',十口,十匚又口
1459,['18'],27.5341,十,b'\xe5\x8d\x81',十,十
1460,['23'],27.4E08,丈,b'\xe4\xb8\x88',十又,丈
1461,['37'],27.5343,千,b'\xe5\x8d\x83',十人,一十
1462,['6106'],27.80B8,肸,b'\xe8\x82\xb8',十八肉,十儿月
1463,['20121'],27.E1E5,,b'\xee\x87\xa5',,
1464,['2471'],27.535A,博,b'\xe5\x8d\x9a',一十卜又又口﹔,十寸甫
1465,['20084'],27.E0C8,,b'\xee\x83\x88',,
1466,['123'],27.5EFF,廿,b'\xe5\xbb\xbf',十十,廿
1467,['20122'],27.E1E6,,b'\xee\x87\xa6',,
1468,['105'],27.5345,卅,b'\xe5\x8d\x85',卅,卅
1469,['158'],27.4E16,世,b'\xe4\xb8\x96',世,世
1470,['696'],27.8A00,言,b'\xe8\xa8\x80',一入口,言
1471,['12484'],27.8B7B,譻,b'\xe8\xad\xbb',譻 = 一入口貝貝,貝貝言
1472,['11658'],27.8B26,謦,b'\xe8\xac\xa6',謦 = 一入口,土殳言
1473,['3669'],27.8A9E,語,b'\xe8\xaa\x9e',一一一入口口,口五言
1474,['4033'],27.8AC7,談,b'\xe8\xab\x87',一入口火火,火火言
1475,['4357'],27.8B02,謂,b'\xe8\xac\x82',一入口肉︱,月田言
1476,['4032'],27.8AD2,諒,b'\xe8\xab\x92',一入口囗↘╴,小口言
1477,['9026'],27.8A75,詵,b'\xe8\xa9\xb5',一儿入口之,儿牛言
1478,['4036'],27.8ACB,請,b'\xe8\xab\x8b',一入土口屮丹,言青
1479,['4356'],27.8B01,謁,b'\xe8\xac\x81',一人入入口口♀,人日言
1480,['2384'],27.8A31,許,b'\xe8\xa8\xb1',一入口午,十人言
1481,['4355'],27.8AFE,諾,b'\xe8\xab\xbe',一入又口口屮屮,又口艸言
1482,['52183'],27.E1E7,,b'\xee\x87\xa7',,
1483,['12782'],27.8B8E,讎,b'\xe8\xae\x8e',一入口隹隹,言隹隹
1484,['4037'],27.8AF8,諸,b'\xe8\xab\xb8',諸 = 一入口,日老言
1485,['3257'],27.8A69,詩,b'\xe8\xa9\xa9',一一入又口之,土寸言
1485,['51600'],27.E1E8,,b'\xee\x87\xa8',,
1486,['5339'],27.8B96,讖,b'\xe8\xae\x96',一人人入口韭﹍﹌,人人戈言韭
1487,['4358'],27.8AF7,諷,b'\xe8\xab\xb7',一一一入口虫,言風
1488,['3667'],27.8AA6,誦,b'\xe8\xaa\xa6',一卜入口口,一用言
1489,['5254'],27.8B80,讀,b'\xe8\xae\x80',一入口貝,土网貝言
1490,['24464'],27.F4B0,,b'\xef\x92\xb0',一入口口,口中立
1491,['1907'],27.8A13,訓,b'\xe8\xa8\x93',一入口川,川言
1492,['3677'],27.8AA8,誨,b'\xe8\xaa\xa8',一入口屮女﹉,人毋言
1493,['11993'],27.8B54,譔,b'\xe8\xad\x94',一入口巽,儿己己言
1494,['5107'],27.8B6C,譬,b'\xe8\xad\xac',譬 = 一一一入入口口,口尸言辛
1495,['11287'],27.8B1C,謜,b'\xe8\xac\x9c',一厂入口泉,厂小白言
1496,['51629'],27.E1E9,,b'\xee\x87\xa9',,
1497,['4359'],27.8AED,諭,b'\xe8\xab\xad',一一入入口舟,一人刀月言
1498,['2834'],27.8A56,詖,b'\xe8\xa9\x96',一入又口為,皮言
1499,['4034'],27.8AC4,諄,b'\xe8\xab\x84',一入口囗﹗／↘,口子言
1500,['11274'],27.8B18,謘,b'\xe8\xac\x98',謘 = 一一一入入口尸,尸言辛
1501,['3270'],27.8A7B,詻,b'\xe8\xa9\xbb',一入口口,口言
1502,['10235'],27.8ABE,誾,b'\xe8\xaa\xbe',一入口戶戶,言門
1503,['4351'],27.8B00,謀,b'\xe8\xac\x80',一一入口口屮｛,木甘言
1503,['24097'],27.E1EA,,b'\xee\x87\xaa',,
1503,['51671'],27.E1EB,,b'\xee\x87\xab',,
1504,['4824'],27.8B28,謨,b'\xe8\xac\xa8',一一入口囗屮屮屮屮,大日艸言
1504,['24584'],27.E1EC,,b'\xee\x87\xac',,
1505,['2380'],27.8A2A,訪,b'\xe8\xa8\xaa',一入口方,方言
1506,['10226'],27.8ACF,諏,b'\xe8\xab\x8f',一入又口耳,又耳言
1507,['4043'],27.8AD6,論,b'\xe8\xab\x96',一一入入口冊,一人冊言
1508,['5106'],27.8B70,議,b'\xe8\xad\xb0',一入口﹗﹍﹌,羊我言
1509,['1463'],27.8A02,訂,b'\xe8\xa8\x82',一丁入口,一言
1510,['3255'],27.8A73,詳,b'\xe8\xa9\xb3',一入口﹗,羊言
1511,['10810'],27.8ADF,諟,b'\xe8\xab\x9f',一一一入口囗止,一止日言
1512,['4347'],27.8AE6,諦,b'\xe8\xab\xa6',諦 = 一入口朿,儿巾言
1513,['4979'],27.8B58,識,b'\xe8\xad\x98',識 = 一一一入入口口﹍﹌,戈言音
1514,['1905'],27.8A0A,訊,b'\xe8\xa8\x8a',一入口,十言
1514,['51716'],27.E1ED,,b'\xee\x87\xad',,
1515,['51730'],27.E1EE,,b'\xee\x87\xae',,
1516,['4825'],27.8B39,謹,b'\xe8\xac\xb9',一入土口田,廿言
1517,['51496'],27.E1EF,,b'\xee\x87\xaf',,
1518,['4361'],27.8AF6,諶,b'\xe8\xab\xb6',一一入八口口﹟,匚儿甘言
1519,['1108'],27.4FE1,信,b'\xe4\xbf\xa1',一人入口,人言
1519,['20522'],27.EDFF,,b'\xee\xb7\xbf',一人入口,人口
1519,['51593'],27.E1F0,,b'\xee\x87\xb0',,
1520,['51592'],27.E1F1,,b'\xee\x87\xb1',,
1521,['3262'],27.8AA0,誠,b'\xe8\xaa\xa0',一丁入口戊,一厂戈言
1522,['3672'],27.8AA1,誡,b'\xe8\xaa\xa1',一入又口﹍﹌,廾戈言
1523,['9653'],27.8A8B,誋,b'\xe8\xaa\x8b',一入口己心,己心言
1524,['4350'],27.8AF1,諱,b'\xe8\xab\xb1',一入口囗,言韋
1525,['3676'],27.8AA5,誥,b'\xe8\xaa\xa5',一入口口牛,口牛言
1525,['22605'],27.E1F2,,b'\xee\x87\xb2',,
1526,['2827'],27.8A54,詔,b'\xe8\xa9\x94',一入刀口口,刀口言
1527,['3673'],27.8A93,誓,b'\xe8\xaa\x93',誓 = 一入口手斤,手斤言
1528,['12265'],27.8B63,譣,b'\xe8\xad\xa3',一一人人入入口口口,一人人人口口言
1529,['2826'],27.8A41,詁,b'\xe8\xa9\x81',一十入口口,十口言
1530,['5094'],27.85F9,藹,b'\xe8\x97\xb9',藹 = 一人入入口口屮屮♀,人日艸言
1531,['51766'],27.E1F3,,b'\xee\x87\xb3',,
1532,['10807'],27.8ADD,諝,b'\xe8\xab\x9d',一入口止肉︰,月疋言
1533,['2825'],27.8A3C,証,b'\xe8\xa8\xbc',一一入口止,一止言
1534,['4349'],27.8AEB,諫,b'\xe8\xab\xab',一入八口囗屮｛,儿束言
1535,['10234'],27.8AD7,諗,b'\xe8\xab\x97',一一入入口心,一人心言
1536,['4038'],27.8AB2,課,b'\xe8\xaa\xb2',一入口屮｛︷,言果
1537,['3256'],27.8A66,試,b'\xe8\xa9\xa6',一入工口﹍,工弋言
1538,['10805'],27.8AF4,諴,b'\xe8\xab\xb4',一一入口口戊,一一口戈言
1539,['51585'],27.F0DD,,b'\xef\x83\x9d',一入口肉,月言
1540,['3267'],27.8A6E,詮,b'\xe8\xa9\xae',一入入口玉,人玉言
1541,['2388'],27.8A22,訢,b'\xe8\xa8\xa2',一入口斤,斤言
1542,['3675'],27.8AAA,說,b'\xe8\xaa\xaa',一儿入口口：,儿儿口言
1543,['1462'],27.8A08,計,b'\xe8\xa8\x88',一十入口,十言
1544,['4353'],27.8AE7,諧,b'\xe8\xab\xa7',諧 = 一人人入口,比白言
1545,['51722'],27.E1F4,,b'\xee\x87\xb4',,
1546,['4041'],27.8ABF,調,b'\xe8\xaa\xbf',一卜入口口口,土口言
1547,['3263'],27.8A71,話,b'\xe8\xa9\xb1',一入口口﹎﹋,一十口言
1547,['52180'],27.E1F5,,b'\xee\x87\xb5',,
1548,['10812'],27.8AC8,諈,b'\xe8\xab\x88',一入土口,言垂
1549,['4039'],27.8AC9,諉,b'\xe8\xab\x89',一入口屮女｛,女禾言
1550,['5108'],27.8B66,警,b'\xe8\xad\xa6',警 = 一卜入又口口包﹗,口艸言
1551,['4652'],27.8B10,謐,b'\xe8\xac\x90',一入八口皿﹍,皿必言
1552,['4646'],27.8B19,謙,b'\xe8\xac\x99',一入又口屮屮｛｛,艸言
1553,['4031'],27.8ABC,誼,b'\xe8\xaa\xbc',一一入口月月,且言
1554,['9021'],27.8A61,詡,b'\xe8\xa9\xa1',一入口羽,羽言
1555,['10229'],27.8AD3,諓,b'\xe8\xab\x93',一入口﹍﹍﹌﹌,戈戈言
1556,['51789'],27.E1F6,,b'\xee\x87\xb6',,
1557,['9023'],27.8A77,詷,b'\xe8\xa9\xb7',一一一入口口〈,一口言
1558,['2385'],27.8A2D,設,b'\xe8\xa8\xad',一入又口,殳言
1559,['5182'],27.8B77,護,b'\xe8\xad\xb7',一入又口隹,又艸言隹
1560,['52173'],27.E1F7,,b'\xee\x87\xb7',,
1561,['3681'],27.8AA7,誧,b'\xe8\xaa\xa7',一卜入又口口﹔,甫言
1562,['10811'],27.8AF0,諰,b'\xe8\xab\xb0',一入口心囟,心田言
1563,['1906'],27.8A17,託,b'\xe8\xa8\x97',一入口乇,一匕言
1564,['1900'],27.8A18,記,b'\xe8\xa8\x98',一入口己,己言
1565,['5183'],27.8B7D,譽,b'\xe8\xad\xbd',譽 = 一一入又口勺爪爪,一一儿臼言
1566,['11998'],27.8B52,譒,b'\xe8\xad\x92',一入口釆．,田釆言
1567,['4650'],27.8B1D,謝,b'\xe8\xac\x9d',一人入入口』↙,寸身言
1568,['11648'],27.8B33,謳,b'\xe8\xac\xb3',一入口口口口﹟,匚口口口言
1569,['2822'],27.8A60,詠,b'\xe8\xa9\xa0',一入口永,永言
1569,['24087'],27.E1F8,,b'\xee\x87\xb8',,
1570,['4044'],27.8ACD,諍,b'\xe8\xab\x8d',諍 = 一入又口爪,爪言
1571,['51645'],27.E1F9,,b'\xee\x87\xb9',,
1572,['11653'],27.8B3C,謼,b'\xe8\xac\xbc',一入八口虍⊕,乎虍言
1573,['1908'],27.8A16,訖,b'\xe8\xa8\x96',一入口气,乙人言
1574,['4348'],27.8AFA,諺,b'\xe8\xab\xba',一厂入口文,厂文言
1575,['2381'],27.8A1D,訝,b'\xe8\xa8\x9d',一入口牙,牙言
1575,['6138'],27.8FD3,迓,b'\xe8\xbf\x93',彳牙止,牙
1576,['3261'],27.8A63,詣,b'\xe8\xa9\xa3',一一人入口口,匕日言
1577,['4647'],27.8B1B,講,b'\xe8\xac\x9b',一入口冓,冉言
1578,['4651'],27.8B04,謄,b'\xe8\xac\x84',一入口朕,儿夫月言
1579,['7095'],27.8A12,訒,b'\xe8\xa8\x92',一入口刃,一刀言
1580,['2383'],27.8A25,訥,b'\xe8\xa8\xa5',一入入口囗,內言
1581,['11652'],27.8B2F,謯,b'\xe8\xac\xaf',一几入口虍∞,且虍言
1582,['21071'],27.E1FA,,b'\xee\x87\xba',,
1583,['12266'],27.8B65,譥,b'\xe8\xad\xa5',譥 = 一一一卜入入又口方,方白言
1584,['11989'],27.8B4A,譊,b'\xe8\xad\x8a',一一儿入土土土口,一儿土土土言
1585,['11284'],27.8B0D,謍,b'\xe8\xac\x8d',謍 = 一一入口火火火〈,火火言
1586,['51837'],27.E1FB,,b'\xee\x87\xbb',,
1586,['7187'],27.5536,唶,b'\xe5\x94\xb6',口昔,口日
1587,['4047'],27.8ADB,諛,b'\xe8\xab\x9b',一乙入口爪爪∮,言臾
1588,['52268'],27.E1FC,,b'\xee\x87\xbc',,
1588,['4040'],27.8AC2,諂,b'\xe8\xab\x82',諂,人臼言
1589,['4362'],27.8AFC,諼,b'\xe8\xab\xbc',諼 = 一一入又口爪,一又又爪言
1590,['11657'],27.8B37,謷,b'\xe8\xac\xb7',謷 = 一卜入又口方出,土方言
1591,['8346'],27.8A39,訹,b'\xe8\xa8\xb9',一入口朮,一木言
1592,['8355'],27.8A51,詑,b'\xe8\xa9\x91',一入口虫＜,匕言
1593,['11654'],27.8B3E,謾,b'\xe8\xac\xbe',一一一一入又口目〈,二又网言
1594,['11651'],27.8B47,譇,b'\xe8\xad\x87',譇 = 一入大口,大日老言
1595,['51795'],27.E1FD,,b'\xee\x87\xbd',,
1596,['11664'],27.8B3A,謺,b'\xe8\xac\xba',謺 = 一一一入入大口丮,儿干土丸言
1597,['11649'],27.8B30,謰,b'\xe8\xac\xb0',一入口彳止車,車言
1598,['11655'],27.8B31,謱,b'\xe8\xac\xb1',一一入口口女◤,女言
1599,['8353'],27.8A52,詒,b'\xe8\xa9\x92',一入口口巳,口言
1600,['52105'],27.E1FE,,b'\xee\x87\xbe',,
1601,['3679'],27.8A91,誑,b'\xe8\xaa\x91',一入土口犬之,犬玉言
1602,['12483'],27.8B7A,譺,b'\xe8\xad\xba',一人入入口子止↙,一匕矢疋言
1603,['52170'],27.E1FF,,b'\xee\x87\xbf',,
1604,['1904'],27.8A15,訕,b'\xe8\xa8\x95',一入口山,山言
1605,['4983'],27.8B4F,譏,b'\xe8\xad\x8f',一人入口﹍﹌,人戈言
1606,['3670'],27.8AA3,誣,b'\xe8\xaa\xa3',一入口巫,人人工言
1607,['4046'],27.8AB9,誹,b'\xe8\xaa\xb9',一入口非,言非
1608,['4645'],27.8B17,謗,b'\xe8\xac\x97',謗 = 一入口方，,儿方言
1609,['12481'],27.8B78,譸,b'\xe8\xad\xb8',一人人入口毛,一工土寸口言
1610,['9018'],27.8A76,詶,b'\xe8\xa9\xb6',一入口川川,州言
1611,['2828'],27.8A5B,詛,b'\xe8\xa9\x9b',一几入口∞,且言
1612,['51625'],27.E200,,b'\xee\x88\x80',,
1613,['9027'],27.8A83,誃,b'\xe8\xaa\x83',一入口月月,夕夕言
1614,['9656'],27.8A96,誖,b'\xe8\xaa\x96',一入八口子【,十子言
1614,['1648'],27.6096,悖,b'\xe6\x82\x96',八子心【,十子心
1614,['30901'],27.F4BF,,b'\xef\x92\xbf',一一囗囗﹍﹍﹌﹌,一一口口戈戈
1615,['47672'],27.F55F,,b'\xef\x95\x9f',一入口糸糸,糸糸言
1615,['34764'],27.E201,,b'\xee\x88\x81',,
